ParticipantID,SEX,ParticipantAge,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExpect,YearsLeftLive
227,1,47,6,17,20,1,5,3,2,3,1,4,6,5,5,4,1,7,4,7,5,.350893170676764,.500040728977605,.165195691853675,.484533354702674,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2,3,40
228,1,33,5,19,5,1,11,2,5,6,1,5,7,4,1,3,2,3,6,4,5,.350893170676764,.500040728977605,.942992074331398,-.27815803695894,6,7,6,7,7,5,6,7,5,6,7,7,6,6,6,5,6,5,6,6,3,50
229,1,30,10,17,25,2,10,1,3,3,7,1,4,1,3,2,6,5,1,3,3,.350893170676764,-.401628457849034,.165195691853675,-1.04084942862055,6,6,5,5,6,5,6,1,7,6,7,4,6,6,6,5,5,5,3,3,3,50
240,1,39,1,21,1,1,0,1,7,1,1,1,1,1,1,1,1,7,1,1,1,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,3,40
276,1,35,3,16,11,1,15,1,7,7,1,1,1,1,5,1,1,1,1,1,1,.350893170676764,-.401628457849034,-.612600690624048,-.27815803695894,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,50
290,1,39,2,20,4,0,0,5,2,1,2,4,4,4,1,4,4,5,6,5,1,-2.22400635515272,-1.30329764467567,-.612600690624048,-1.80354082028217,4,5,3,4,5,6,7,7,7,2,7,7,6,6,6,6,6,6,1,1,3,50
291,1,47,7,17,7,1,4,1,2,1,1,1,7,1,5,1,1,7,1,4,1,-.507406671266396,-.401628457849034,-.612600690624048,-1.80354082028217,5,6,7,6,7,7,1,2,2,3,7,7,1,1,1,5,5,5,1,3,3,0
297,1,38,5,18,5,1,12,1,7,3,6,3,3,1,1,1,6,5,1,5,2,.350893170676764,1.40170991580424,-1.39039707310177,1.24722474636429,3,6,6,6,7,6,7,7,7,7,1,6,6,7,6,6,6,6,6,7,5,60
298,1,44,15,16,12,1,12,5,3,2,2,2,4,2,3,2,2,6,2,6,2,-.507406671266396,-1.30329764467567,-.612600690624048,-1.04084942862055,1,5,1,1,1,6,3,7,5,2,7,7,6,5,7,5,5,6,2,2,3,16
312,0,34,2,18,2,0,0,1,2,2,7,1,6,1,2,1,7,7,1,7,5,-.507406671266396,-.401628457849034,.165195691853675,-.27815803695894,7,7,7,7,5,4,6,4,7,7,7,5,4,5,5,5,4,4,3,3,3,40
