ParticipantID	SEX	ParticipantAge	MEQ1	MEQ2	MEQ3	MEQ4	MEQ5	MEQ6	MEQ7	MEQ8	MEQ9	MEQ10	MEQ11	MEQ12
286	1	38	2	5	2	5	2	3	2	5	5	2	5	4
292	1	38	1	4	4	4	4	4	3	3	3	3	3	4
297	1	38	1	6	3	3	1	1	1	6	5	1	5	2
306	0	38	6	6	6	5	5	6	4	5	4	5	5	6
82	0	38	3	4	2	6	4	4	5	4	4	5	4	3
83	0	38	3	5	3	5	3	5	5	5	5	5	5	5
119	0	38	4	2	4	6	3	4	2	2	4	2	5	3
390	0	38	5	5	6	5	2	3	4	2	6	3	3	1
191	1	37	1	6	1	6	1	1	1	6	7	1	7	1
246	1	37	1	4	1	5	1	3	1	5	4	1	6	3
67	0	37	6	6	7	5	6	7	6	6	7	3	6	7
356	0	37	5	6	5	4	6	5	4	5	6	5	6	4
337	0	37	6	4	5	5	5	7	5	3	6	6	5	7
152	1	36	2	5	5	6	6	2	2	6	6	6	6	6
153	1	36	1	5	1	5	1	1	1	5	4	1	4	4
253	1	36	2	2	4	6	4	5	2	2	3	2	5	5
259	1	36	1	1	1	6	1	1	1	4	7	2	6	1
293	1	36	2	5	2	5	4	3	5	5	3	5	3	5
49	0	36	7	6	1	1	1	5	3	6	6	7	6	7
115	0	36	7	6	7	6	6	5	7	4	7	5	7	4
66	0	36	1	5	1	4	1	2	1	5	4	1	3	3
84	0	36	1	1	1	7	1	1	1	1	7	1	7	1
89	0	36	1	5	1	6	1	1	4	5	7	1	7	5
107	0	36	1	1	1	1	1	1	1	1	1	1	1	1
114	0	36	5	3	3	6	6	6	5	5	5	5	5	6
398	0	36	1	1	1	4	1	1	1	1	6	1	5	3
159	1	35	2	4	2	6	2	2	2	4	4	2	4	4
201	1	35	2	4	5	4	5	3	2	4	6	2	5	2
276	1	35	1	1	1	1	1	5	1	1	1	1	1	1
283	1	35	6	1	1	7	1	1	5	1	7	1	7	2
287	1	35	4	5	1	5	1	3	1	5	7	1	6	5
319	0	35	2	1	2	6	2	7	7	4	1	6	2	1
30	0	35	1	4	1	6	1	1	1	4	4	1	1	4
29	0	35	1	1	1	7	1	7	1	1	7	1	7	1
63	0	35	1	5	1	5	1	6	2	5	5	2	5	2
73	0	35	2	7	1	6	7	5	2	7	5	1	6	7
309	0	35	3	4	4	6	3	2	4	4	5	1	4	3
399	0	35	1	5	6	5	4	6	3	5	6	3	5	3
198	1	34	4	7	4	7	6	6	5	6	7	6	5	6
230	1	34	2	5	2	3	2	1	1	1	6	1	6	1
233	1	34	1	7	1	7	1	4	1	7	7	1	7	5
264	1	34	6	3	6	6	6	6	6	4	6	6	6	6
267	1	34	1	6	3	7	3	5	2	7	7	3	7	5
282	1	34	1	7	1	5	1	2	1	7	6	1	5	7
296	1	34	1	4	1	7	1	6	1	4	6	1	7	4
92	0	34	4	7	1	7	1	1	1	7	7	1	7	4
332	0	34	3	5	3	6	3	3	3	4	5	3	4	3
32	0	34	7	7	2	4	6	7	7	7	4	3	4	4
37	0	34	7	7	4	7	4	7	6	7	7	4	5	6
56	0	34	2	2	3	5	4	4	1	2	6	1	4	6
78	0	34	3	6	2	3	3	3	2	5	4	2	4	2
312	0	34	1	7	1	6	1	2	1	7	7	1	7	5
336	0	34	6	4	5	4	3	5	6	4	5	4	5	4
353	0	34	1	6	1	5	4	5	3	6	6	3	7	5
366	0	34	2	7	5	4	5	2	4	7	7	1	7	6
133	1	33	3	5	2	5	3	3	2	5	4	2	4	5
150	1	33	5	2	2	3	2	1	5	2	6	2	6	1
151	1	33	1	7	4	7	1	1	1	7	7	1	7	7
155	1	33	6	4	5	7	5	3	5	5	7	3	7	3
179	1	33	2	7	1	6	1	6	1	7	6	1	7	3
228	1	33	2	1	5	7	4	1	3	2	3	6	4	5
248	1	33	7	7	1	7	1	3	1	7	7	1	7	5
261	1	33	3	6	1	6	1	3	2	6	7	1	7	6
265	1	33	3	5	3	4	3	3	3	4	5	3	4	3
304	1	33	4	4	4	4	4	4	4	4	4	4	4	4
313	0	33	1	4	4	5	4	4	2	4	5	5	5	6
28	0	33	6	7	5	6	5	6	5	7	6	4	6	7
352	0	33	6	7	5	4	6	7	4	7	4	6	7	5
41	0	33	2	5	6	7	2	2	7	6	6	2	1	6
81	0	33	4	3	2	2	4	4	2	1	4	5	5	3
101	0	33	1	1	1	7	1	1	3	1	5	3	6	3
103	0	33	1	2	1	5	1	2	1	4	6	1	5	5
323	0	33	2	7	1	5	1	4	2	7	6	2	6	5
395	0	33	3	2	2	7	2	6	6	 	6	5	7	2
400	0	33	5	5	5	7	7	6	7	5	7	5	7	5
144	1	32	1	7	1	7	1	1	7	7	7	7	7	7
168	1	32	2	5	6	5	5	1	1	5	5	5	6	6
187	1	32	4	4	4	3	2	3	4	4	4	3	3	3
211	1	32	1	5	1	4	1	1	1	5	5	1	5	5
216	1	32	2	6	2	6	2	6	2	6	6	2	6	2
226	1	32	1	6	1	4	1	6	1	6	7	1	6	6
258	1	32	1	1	1	3	1	1	2	1	7	1	6	1
271	1	32	1	2	1	6	1	5	1	2	7	1	7	2
281	1	32	5	3	3	5	3	4	4	4	3	2	5	4
34	0	32	1	2	2	6	2	2	2	3	5	2	7	2
42	0	32	6	7	4	7	5	5	6	7	6	4	6	4
47	0	32	1	7	5	5	2	6	5	5	4	2	5	6
52	0	32	5	5	3	6	4	2	4	6	6	4	6	4
94	0	32	2	2	1	3	2	2	1	2	2	1	1	3
99	0	32	2	6	4	6	4	2	2	6	6	6	7	6
322	0	32	1	7	4	7	4	7	4	7	7	1	7	3
324	0	32	2	6	1	5	1	5	3	7	5	3	4	7
347	0	32	4	4	5	3	5	4	5	5	4	5	2	5
349	0	32	4	5	5	5	4	4	5	6	6	5	5	5
365	0	32	2	1	2	7	2	2	1	1	7	1	7	5
368	0	32	5	6	5	5	5	5	6	5	6	5	5	6
391	0	32	1	2	1	7	1	1	2	6	6	5	6	6
200	1	31	6	5	7	6	5	6	5	7	6	7	7	5
257	1	31	4	5	4	3	3	5	4	5	4	3	2	4
163	1	31	3	5	1	3	1	1	1	5	5	1	4	5
185	1	31	1	4	2	3	1	1	1	4	6	1	5	4
209	1	31	1	6	4	6	5	1	1	7	6	1	6	7
245	1	31	2	2	4	2	6	3	6	4	3	2	5	6
305	1	31	2	2	2	4	1	1	2	2	6	1	6	5
40	0	31	5	4	4	5	5	3	2	1	1	2	1	2
93	0	31	1	2	1	6	1	1	1	1	7	1	7	4
328	0	31	5	3	4	3	4	6	5	4	3	5	6	5
380	0	31	1	7	1	6	1	1	1	6	7	1	6	5
381	0	31	1	7	1	7	1	2	1	7	6	1	6	7
184	1	30	1	5	1	4	1	2	2	6	2	2	4	2
229	1	30	1	7	1	4	1	3	2	6	5	1	3	3
244	1	30	1	2	1	1	1	1	1	1	3	1	1	1
270	1	30	4	6	6	6	5	5	4	6	6	6	6	6
280	1	30	2	4	5	5	5	2	5	4	4	6	5	5
344	0	30	5	3	5	5	3	3	4	5	4	3	3	5
351	0	30	5	4	4	5	5	3	5	6	6	5	5	5
21	0	30	4	4	4	6	4	4	4	4	5	4	6	5
22	0	30	7	5	2	7	2	2	2	6	5	3	6	6
23	0	30	1	2	1	5	1	1	1	2	6	1	5	6
24	0	30	1	1	1	1	1	6	6	6	6	6	7	5
75	0	30	1	1	1	5	1	1	1	1	6	1	7	1
76	0	30	2	6	2	6	2	6	5	6	7	4	6	6
116	0	30	6	4	6	7	6	5	6	5	5	3	4	6
118	0	30	5	6	5	6	5	5	6	5	6	5	6	5
307	0	30	1	2	1	5	1	1	1	2	6	1	5	6
308	0	30	7	5	2	7	2	2	2	6	5	3	6	6
321	0	30	3	2	1	2	2	5	5	5	6	6	5	5
335	0	30	1	6	4	5	1	1	1	6	6	1	6	2
