ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
212,1,48,1,3,1,5,1,3,1,2,6,1,6,2
213,1,45,1,1,1,5,1,1,1,2,4,1,4,1
214,1,39,1,7,5,6,1,3,1,7,6,1,6,7
216,1,32,2,6,2,6,2,6,2,6,6,2,6,2
218,1,19, , , , , , , , , , , , 
219,1,56,2,5,1,5,1,2,6,5,6,5,6,5
220,1,52,7,4,1,6,1,1,1,4,7,1,4,4
221,1,39,3,3,2,6,3,2,3,5,2,3,6,2
222,1,26,2,6,2,6,2,2,2,6,7,2,7,6
223,1,26,6,6,6,5,4,4,6,6,5,4,4,5
225,1,45,1,1,1,1,1,1,1,1,1,1,1,1
226,1,32,1,6,1,4,1,6,1,6,7,1,6,6
227,1,47,3,1,4,6,5,5,4,1,7,4,7,5
228,1,33,2,1,5,7,4,1,3,2,3,6,4,5
229,1,30,1,7,1,4,1,3,2,6,5,1,3,3
230,1,34,2,5,2,3,2,1,1,1,6,1,6,1
231,1,57,4,2,2,7,2,3,3,2,6,1,6,6
232,1,27,1,1,1,4,1,1,1,1,4,1,4,1
233,1,34,1,7,1,7,1,4,1,7,7,1,7,5
234,1,25,2,6,1,6,1,3,5,6,6,5,6,5
235,1,29,2,6,5,5,2,5,5,6,6,5,6,5
237,1,28,1,5,3,4,2,2,2,6,7,2,6,5
238,1,25,7,6,7,6,5,7,6,5,6,7,6,5
239,1,60,2,5,1,7,1,1,1,6,6,1,6,6
240,1,39,1,1,1,1,1,1,1,1,7,1,1,1
242,1,29,2,4,1,4,1,1,1,4,4,1,4,5
243,1,45,1,4,4,6,1,4,4,4,7,4,7,4
244,1,30,1,2,1,1,1,1,1,1,3,1,1,1
245,1,31,2,2,4,2,6,3,6,4,3,2,5,6
246,1,37,1,4,1,5,1,3,1,5,4,1,6,3
247,1,45,1,4,1,7,1,1,1,5,7,1,7,1
248,1,33,7,7,1,7,1,3,1,7,7,1,7,5
250,1,47,1,4,4,4,4,1,1,1,1,1,1,4
251,1,50,2,2,2,6,2,3,4,2,6,2,5,5
252,1,47,2,2,1,3,1,4,3,5,5,1,5,1
253,1,36,2,2,4,6,4,5,2,2,3,2,5,5
254,1,57,5,1,6,4,5,1,6,1,5,5,7,5
