Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MEQ13,MEQ14,MEQ15,MEQ16,MEQ17,MEQ18,MEQ19,MEQ20,MEQ21
1,28,2,7,3,6,6,7,3,6,4,6,3,5,4,5,5,1,5,6,1,4,1
1,32,6,5,4,6,5,4,5,6,5,6,5,4,3,5,1,7,2,5,5,6,6
1,32,5,4,6,4,4,5,4,3,5,6,7,5,4,5,1,5,4,6,7,3,3
1,27,5,5,6,3,5,3,2,3,6,6,2,6,5,7,2,6,4,6,7,2,5
1,26,6,4,4,6,2,4,4,3,6,3,6,6,2,4,1,4,3,4,2,6,4
1,28,4,3,3,4,4,6,6,4,6,5,4,4,2,5,5,5,1,6,4,3,3
1,29,5,4,5,4,6,5,5,5,4,6,5,6,4,6,3,5,2,5,6,6,5
1,35,5,1,3,2,4,3,2,2,2,2,3,2,6,2,5,2,6,2,2,3,4
1,25,6,6,2,2,6,6,4,6,2,4,5,5,2,2,1,2,6, ,3,1,1
1,23,3,4,1,1,6,2,6,6,4,1,6,2,2,7,5,4,1,2,1,1,6
1,25,3,2,3,4,3,5,7,7,6,7,4,4,5,4,5,2,5,3,4,5,2
1,31,4,7,1,4,6,7,1,7,1,7,1,7,7,1,1,4,7,1,4,1,1
1,36,1,6,1,1,2,6,1,1,1,4,1,4,4,1,2,1,7,1,1,1,1
1,35,4,4,4,1,4,6,4,6,1,5,1,4,4,5,4,5,3,5,5,4,5
1,33,1,6,1,3,6,6,1,6,1,6,1,6,2,4,3,1,7,5,1,1,1
1,29,1,5,5,3,7,5,6,7,2,5,4,5,7,7,2,5,6,7,6,5,6
1,35,3,5,6,1,6,6,4,5,2,6,2,6,4,4,3,5,7,4,4,5,5
1,28,4,5,4,5,5,6,5,4,3,4,2,5,5,6,5,5,4,5,4,5,4
1,32,1,6,1,1,6,7,1,7,1,7,1,7,4,4,4,4,3,4,4,4,4
1,33,2,7,1,1,6,7,1,7,4,6,1,7,1,6,1,7,7,5,3,7,3
1,42,2,5,2,6,4,5,3,4,4,6,4,6,3,5,2,2,6,5,3,4,1
1,37,1,7,1,6,7,7,7,4,1,7,1,7,1,1,7,1,1,1,1,7,7
1,39,5,5,5,4,6,6,6,6,6,6,6,6,3,6,3,6,2,6, ,5,6
1,21,2,6,2,3,2,6,2,2,4,2,2,6,6,3,5,6,5,2,5,6,3
1,47,2,5,2,2,4,6,2,5,2,4,2,4,2,6,2,6,2,6,2,1,4
1,38,2,6,2,2,6,6,2,6,2,6,6,6,2,6,2,2,2,6,2,2,2
1,45,1,5,6,6,6,6,2,5,1,4,4,7,5,5,5,2,6,5,5,5,4
1,34,4,4,3,4,5,4,5,4,5,4,3,4,3,5,3,4,3,4,5,4, 
1,32,5,6,4,5,3,5,2,2,2,4,2,3,5,3,6,3,4,2,2,2,3
1,39,3,5,5,6,5,6,5,5,5,5,6,5,3,5,3,6,3,5,6,5,5
1,70,1,4,1,1,4,6,1,6,1,6,1,5,4,4,4,1,4,4,1,1,4
1,30,6,4,6,4,4,5,4,3,5,4,5,4,4,4,3,4,2,6,6,5,4
1,34,3,6,3,4,5,2,4,3,5,6,6,3,4,6,2,3,2,4,3,3,2
1,53,1,6,1,6,3,6,1,1,2,5,1,5,2,3,1,1,7,3,1,1,1
1,46,2,6,2,2,4,6,2,5,2,6,2,6,2, ,2,2,2,2,2,2,2
1,45,2,5,4,4,5,6,2,6,5,6,5,6,3,2,3,2,2,2,2,2,2
1,27,4,5,3,5,4,4,5,5,4,4,3,5,3,3,4,4,5,5,4,3,3
1,66,2,7,1,3,5,7,1,5,1,6,1,7,3,6,3,5,6,5,5,3,2
1,31,1,7,1,1,5,7,1,5,4,6,1,7,3,5,1,6,3,6,1,1,1
1,29,1,5,3,4,5,6,1,4,1,6,1,6,3,2,1,2,1,1,1,1,1
1,31,6,5,5,2,5,6,5,6,1,1,1,6,1,4,3,6,1,6,1,1,1
1,52,4,4,4,3,4,4,4,4,4, ,4,4,4,4,4,4,4,4,4,4,4
1,33,1,4,1,4,4,5,1,4,1,4,1,4,3,5,2,5,1,4,1,1,1
1,32,2,5,2,1,2,6,1,4,3,4,4,6,4,1,4,4,5,1,2,4,2
1,33,4,6,1,6,6,1,3,4,6,4,2,7,3,6,6,5,4,5,5,5,4
1,43,1,7,1,1,4,7,1,6,2,7,1,6,7,1,3,1,7,1,1,1,1
1,36,1,6,1,1,5,7,1,7,1,7,1,6,2,2,2,5,4,1,1,1,1
1,23,5,3,5,2,5,3,4,5,3,5,3,2,5,4,4,6,4,3,4,2,4
1,39,2,2,2,5,2,6,3,6,5,3,5,4,2,6,1,3,1,3,2,2,1
1,42,1,4,2,2,2,4,5,2,5,7,1,7,3,4,4,6,1,4,4,5,4
1,22,6,7,5,6,5,5,2,7,2,7,1,7,2,5,5,6,3,5,5,5,3
1,30,2,1,2,2,2,7,2,1,2,1,1,3,6,2,7,2,6,1,1,1,2
1,43,4,4,4,7,7,7,7,7,6,7,7,7,5,7,3,4,4,1,5,1,1
1,50,4,3,5,3,5,3,5,5,1,3,3,7,4,3,5,3,5,5,3,4,6
1,27,3,5,5,3,3,7,5,5,5,6,5,5,2,6,3,5,2,6,5,3,4
1,66,6,7,1,4,2,7,1,7,5,6,2,6,3,5,3,5,3,5,3,2,2
1,31,2,6,4,4,5,6,3,5,4,6,3,7,3,4,3,4,3,5,4,5,3
1,62,2,2,3,3,6,5,1,3,6,4,3,6,3,2,6,4,3,1,2,2,2
1,26,7,7,6,7,7,7,4,7,6,6,5,7,2,7,2,7,6,7,6,6,5
