Participant_ID,Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
327,1,28,5,4,5,3,4,5,6,3,3,3,4,4,4,3,2,4,3,2,3,2,3,3,3,4,2,2,3,3,3,3,3,3,3,1,3,4,2,4,1,3,3,4,2,1,4,2,3,2,4,3,7,6,7,6,8,5,6,6,5,5,6,6,6,7,5,4,4,6,5,1,7,6,5,6,5,6,5,6,6
344,1,30,5,3,5,5,3,3,4,5,4,3,3,5,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,3,2,2,3,3,2,3,2,1,2,3,3,2,2,2,3,2,3,6,5,4,4,5,6,7,5,4,6,5,4,3,4,5,5,4,3,4,5,4,3,4,5,4,3,4,5,4
356,1,37,5,6,5,4,6,5,4,5,6,5,6,4,3,3,4,3,2,3,4,3,2,3,3,4,3,3,2,3,3,3,4,3,3,2,3,4,3,2,2,2,3,3,2,2,3,4,3,3,2,3,2,2,3,1,4,3,7,4,5,6,7,6,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6
367,1,28,3,6,5,5,5,6,6,5,4,4,3,4,3,4,4,3,3,3,3,2,2,2,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,4,4,4,2,2,2,3,1,4,4,4,4,7,7,8,3,3,4,5,6,7,3,5,3,2,2,2,1,2,2,1,2,3,3,1,2,1,2,1,1,1
376,1,28,5,5,5,5,3,4,5,5,3,5,3,6,3,2,4,3,3,2,3,3,2,3,3,2,3,3,1,2,3,2,3,3,3,2,2,3,3,2,3,3,2,3,2,4,3,3,2,3,2,2,6,4,4,6,4,5,6,4,6,6,4,5,5,4,5,3,5,6,4,6,4,4,5,3,5,3,3,5,4
379,1,27,1,1,4,7,4,2,4,4,4,4,2,2,1,1,1,1,1,1,1,1,3,1,3,3,2,3,4,4,1,3,1,1,1,1,1,4,1,1,1,3,4,4,3,1,3,4,3,1,3,1,2,1,3,9,9,1,4,3,5,5,6,6,7,7,1,7,1,4,7,7,1,7,7,7,6,6,6,4,4
384,1,29,6,5,4,7,6,4,6,5,3,5,5,3,3,2,2,4,3,3,4,3,3,1,4,4,2,3,3,3,2,4,3,3,4,2,3,3,2,4,4,4,2,2,2,4,3,3,2,4,3,3,4,2,3,8,6,6,6,8, ,6,5,4,7,6,6,4,6,5,7,6,4,5,2,6,5,5,7,6,6
28,1,33,6,7,5,6,5,6,5,7,6,4,6,7,4,3,4,2,3,2,3,2,4,3,3,2,4,3,2,4,3,3,3,2,4,2,4,3,2,4,2,3,3,4,2,3,4,4,3,3,2,3,3,2,2,9,7,8,6,8,7,5,6,7,6,6,1,6,7,6,6,6,5,6,6,7,6,6,5,7,6
30,1,35,1,4,1,6,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,9,9,1,9,7,9,4,6,5,4,5,6,6,4,4,6,4,2,5,6,6,6,6,6,6,4
33,1,27,5,5,5,4,5,5,5,3,6,5,5,4,3,3,2,2,3,2,4,3,3,2,3,2,2,3,3,2,3,3,1,3,3,2,3,3,1,3,2,3,2,2,2,3,4,3,3,2,3,2,3,3,2,1,2,4,1,2,1,5,5,5,6,5,4,6,5,5,6,5,5,6,4,6,6,5,5,4,6
35,1,42,4,1,4,4,4,5,1,1,7,1,7,1,3,4,2,1,1,2,2,3,2,1,3,3,2,3,3,3,1,3,3,1,1,3,1,1,3,3,3,4,3,3,4,3,3,3,4,3,4,1,1,1,1,1,1,7,4,2,2,5,5,2,5,7,5,5,6,5,5,5,5,6,5,5,5,4,4,5,4
110,1,29,6,4,3,6,7,6,4,7,6,4,7,5,3,2,2,3,1,2,2,3,2,3,3,2,3,1,1,2,3,2,2,3,3,2,2,4,3,2,1,2,3,3,1,4,3,2,3,2,2,4,1,1,1,5,3,2,4,2,4,6,5,7,4,6,1,4,6,4,7,6,4,7,6,4,3,6,5,4,6
115,1,36,7,6,7,6,6,5,7,4,7,5,7,4,1,1,1,2,1,1,1,1,1,1,4,4,3,2,3,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,2,2,2,4,5,6,3,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5
306,1,38,6,6,6,5,5,6,4,5,4,5,5,6,3,2,3,3,2,2,3,4,4,2,4,4,3,3,4,3,4,4,3,3,3,4,4,3,4,3,3,2,3,3,4,2,3,4,3,2,3,3,1,1,1,1,1,2,2,2,2,4,5,5,6,4,5,4,5,4,6,6,5,5,5,5,4,6,6,5,4
315,1,29,1,3,5,3,5,3,7,5,3,5,4,6,1,3,2,4,2,4,3,2,3,4,2,4,3,1,3,4,3,3,2,4,1,3,2,4,2,3,1,4,2,2,3,2,4,2,3,3,4,2,3,7,5,6,8,4,4,8,6,2,6,3,6,5,7,5,7,3,5,3,6,4,5,7,6,3,4,6,5
317,1,29,5,5,4,5,3,4,5,5,6,3,5,5,3,3,2,3,4,3,2,3,2,2,3,4,3,2,3,3,2,3,4,3,3,3,4,3,2,3,3,3,3,3,3,4,3,2,3,3,2,2,7,6,4,6,7,6,6,7,3,5,6,7,5,5,3,7,5,6,6,5,6,4,5,4,5,6,5,4,5
330,1,25,4,5,6,5,5,4,5,5,4,5,4,5,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,5,6,6,6,7,6,6,7,6,5,6,5,6,5,6,5,4,5,6,4,5,6,5,6,5,6,5,6,5
332,1,34,3,5,3,6,3,3,3,4,5,3,4,3,1,1,1,1,1,1,1,1,2,1,3,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,1,1,3,1,1,1,1,2,1,2,7,8,2,9,7,9,6,6,6,7,7,5,6,6,6,6,4,5,6,6,6,7,6,6,5,2
333,1,29,5,4,5,4,3,4,5,4,3,4,5,4,3,2,3,3,2,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,2,4,5,4,5,4,5,4,6,5,3,4,5,6,5,3,4,5,5,4,3,5,5,4,3,4,5,4
348,1,47,5,4,3,4,3,2,2,2,5,2,6,2,1,1,1,2,1,4,4,2,3,2,3,4,3,3,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,3,3,2,1,2,2,2,1,1,1,1,1,1,1,9,1,1,1,5,6,6,6,7,4,7,7,7,7,7,6,6,6,7,6,6,6,6,6
351,1,30,5,4,4,5,5,3,5,6,6,5,5,5,3,3,4,4,3,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3,4,4,4,3,2,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,2,2,4,4,4,6,8,6,6,7,7,6,5,5,5,7,6,6,7,7,7,6,6,7,7,7,6
352,1,33,6,7,5,4,6,7,4,7,4,6,7,5,4,3,4,2,3,3,4,2,3,3,4,3,4,2,3,4,3,4,3,2,4,3,4,2,4,3,4,4,3,4,2,3,4,4,3,3,2,4,3,7,5,9,7,6,4,5,8,6,4,7,6,7,6,7,5,6,5,7,5,7,5,7,5,6,7,4,6
370,1,56,5,2,5,5,2,2,3,2,6,2,6,2,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,4,4,4,3,3
372,1,28,5,3,5,3,4,2,3,4,3,4,3,4,2,3,2,1,2,2,3,2,2,1,2,2,3,2,1,2,2,1,2,2,2,1,2,3,2,3,1,2,2,2,3,3,3,4,2,2,3,2,2,4,2,4,3,5,3,4,3,5,3,5,4,7,4,5,4,4,4,1,2,3,2,3,4,3,4,3,3
377,1,28,1,5,1,4,1,1,1,5,7,1,4,5,2,1,1,2,1,2,3,1,4,1,2,4,4,2,1,3,1,1,1,1,1,1,1,1,2,2,1,4,1,3,4,4,1,1,3,1,1,1,1,1,1,9,2,6,1,1,1,5,6,4,7,6,2,6,5,6,6,1,5,6,4,4,7,6,6,7,7
21,1,30,4,4,4,6,4,4,4,4,5,4,6,5,3,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,3,1,1,1,1,1,4,4,4,4,2,1,3,3,1,1,1,2,7,7,5,5,5,5,6,4,5,5,5,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,5,4
22,1,30,7,5,2,7,2,2,2,6,5,3,6,6,2,1,2,3,3,3,4,2,4,2,3,3,4,4,4,3,2,2,1,2,1,3,4,1,3,4,2,3,4,3,4,3,2,4,4,1,3,1,2,2,2,1,2,8,1,1,1,6,6,6,7,7,5,6,7,6,7,2,5,7,7,7,7,7,7,6,6
23,1,30,1,2,1,5,1,1,1,2,6,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,8,1,6,7,5,4,5,7,5,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1
24,1,30,1,1,1,1,1,6,6,6,6,6,7,5,2,2,2,2,2,2,2,2,3,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,3,8,7,2,3,2,4,5,4,4,4,4,5,4,4,4,7,7,5,4,4,4,5,5,4,5
25,1,25,6,6,6,7,6,7,6,5,6,5,6,6,4,4,3,4,2,4,3,3,4,4,3,3,4,3,4,4,3,4,4,3,3,4,3,3,3,4,3,4,4,3,3, ,2,4,2,3,3,3,3,2,1,2,3,8,2,2,3,5,6,2,7,6,2,6,5,5,7,5,6,5,5,5,6,6,6,5,6
26,1,29,6,6,6,6,2,7,4,7,7,1,7,6,4,1,4,1,1,2,4,1,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,3,4,3,4,4,4,4,4,1,1,2,1,3,2,3,2,2,1,5,7,4,3,2,7,7,1,7,7,5,6,6,7,7,6,6,7,7,7,7,7,7,7,7
27,1,24,5,6,2,7,2,6,5,6,7,5,6,5,2,1,2,1,1,2,3,1,3,2,3,4,2,3,3,3,1,4,1,1,2,1,1,1,2,1,2,4,4,3,4,2,1,3,3,1,3,2,4,3,5,8,8,2,7,6,6,5,7,6,7,5,3,7,5,4,7,2,3,5,6,6,7,6,7,7,2
29,1,35,1,1,1,7,1,7,1,1,7,1,7,1,1,1,1,1,1,1,4,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,1,1,1,4,4,4,4,4,4,4,1,1,1,1,2,1,1,9,9,1,2,2,1,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,5,5,5,3,1
31,1,22,3,3,3,6,3,2,5,4,2,6, ,5,2,3,2,1,2,3,2,3,3,2,2,3,4,3,2,3,2,3,2,3,2,2,4,3,2,1,2,3,2,2,3,3,2,4,3,2,3,4,4,6,5,4,6,8,4,9,5,5,3,4,6,5,2,3,6,5,4,3,4,4,2,4,5,6,5,4,3
32,1,34,7,7,2,4,6,7,7,7,4,3,4,4,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,5,9,9,9,9,1,8,8,8,4,5,2,7,7,6,2,2,4,4,1,1,1,1,1,1,1,1,1,1
34,1,32,1,2,2,6,2,2,2,3,5,2,7,2,3,2,3,1,4,1,4,1,3,3,3,4,3,2,4,1,1,3,1,3,2,1,1,1,3,2,1,2,4,3,4,3,1,2,1,1,1,1,2,2,1,1,1,9,2,2,1,5,5,5,3,3,5,6,5,7,7,6,7,7,7,7,7,6,6,5,7
36,1,49,6,5,5,5,5,6,5,5,5,4,6,6,3,2,1,2,3,2,3,1,2,3,2,3,3,2,3,2,3,1,1,2,2,2,3,2,1,2,1,4,4,3,3,2,2,2,2,3,1,1,2,8,6,5,4,3,7,7,7,6,6,7,6,7,5,6,5,4,5,6,3,6,5,6,7,5,5,3,2
37,1,34,7,7,4,7,4,7,6,7,7,4,5,6,1,1,1,1,1,1,1,2,2,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,2,3,4,4,3,3,2,2,3,2,1,1,1,2,8,5,9,9,1,8,6,7,6,6,5,6,7,3,7,7,4,7,3,1,7,7,6,7,6,6,3,5
39,1,26,4,5,4,6,5,6,4,6,6,5,6,6,2,1,2,1,1,3,3,1,3,3,3,3,3,3,3,2,1,2,1,1,1,2,2,1,3,3,1,4,4,3,3,3,1,4,3,1,3,2,2,3,2,6,8,4,7,6,5,5,6,5,5,6,6,5,6,4,5,5,6,5,4,5,6,6,6,5,2
41,1,33,2,5,6,7,2,2,7,6,6,2,1,6,1,4,4,4,3,4,4,4,3,4,4,4,4,3,2,4,1,1,2,1,3,2,1,1,3,4,1,3,4,4,3,4,3,4,3,4,4,1,2,2,1,5,3,1,7,6,1,6,6,6,2,6,6,1,1,1,7,2,7,1,6,6,6,6,6,6,6
42,1,32,6,7,4,7,5,5,6,7,6,4,6,4,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,4,3,1,1,1,1,1,1,1,8,7,8,9,9,1,8,8,8,7,7,7,7,7,3,7,7,7,7,3,1,7,7,7,7,7,7,4,1
43,1,29,7,1,1,4,1,1,1,5,7,1,7,7,1,1,2,1,1,1,4,1,3,3,2,4,3,4,4,1,1,1,1,2,1,1,1,4,4,4,1,3,2,2,4,2,1,4,2,1,1,1,2,2,1,1,1,5,5,7,7,6,7,6,7,6,1,7,7,7,7,1,7,5,5,6,7,7,7,6,6
45,1,70,3,3,2,6,4,5,5,2,6,3,5,2,2,1,2,1,2,3,1,1,3,1,4,4,3,3,4,3,1,1,1,1,2,1,1,2,1,2,2,4,3,4,3,3,2,2,3,1,1,1,1,6,5,4,6,1,2,2,3,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2
46,1,45,1,1,1,1,1,1,1,1,6,1,6,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,1,1,1,1,1,1,1,1,3,2,1,3,3,3,3,2,1,1,2,1,1,1,2,1,1,1,1,9,1,1,1,6,6,7,6,6,6,4,6,7,7,1,7,4,6,4,4,4,5,4,4
