Participant_ID,Participant_Sex,Participant_Age,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,MRSF1,MRSF2,MRSF3,MRSF4,MRSF5,MRSF6,MRSF7,MRSF8,MRSF9,MRSF10,MRSF11,MRSF12,MRSF13,MRSF14,MRSF15,MRSF16,MRSF17,MRSF18,MRSF19,MRSF20,MRSF21,MRSF22,MRSF23,MRSF24,MRSF25,MRSF26,MRSF27,MRSF28,MRSF29,MRSF30,MRSF31,MRSF32,MRSF33,MRSF34,MRSF35,MRSF36,MRSF37,MRSF38,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
60,1,66,2,4,3,6,4,5,3,4,6,2,5,4,3,2,4,2,4,3,4,3,3,3,4,4,4,3,3,3,2,3,2,3,3,2,2,3,2,3,3,4,3,4,4,4,2,3,3,2,4,1,2,7,8,7,9,2,9,7,9,5,3,1,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2
61,1,76,5,1,6,4,5,5,5,1,4,5,4,1,1,1,1,1,2,1,1,1,2,1,1,3,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,8,8,8,8,2,6,5,6,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4
62,1,59,2,1,1,5,2,4,5,2,5,5,5,2,2,1,1,1,2,2,2,1,3,2,2,4,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,2,1,3,1,1,1,1,2,5,5,7,6,2,4,3,4,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4
63,1,35,1,5,1,5,1,6,2,5,5,2,5,2,1,1,1,1,1,1,1,1,1,1,1,4,3,2,4,1,1,1,1,1,1,1,1,1,2,2,1,3,4,3,3,2,1,3,1,1,1,1,2,3,5,8,8,2,4,2,2,5,5,5,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1
64,1,46,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
65,1,48,1,7,1,7,1,5,3,7,4,1,4,5,4,1,2,1,1,1,4,3,2,4,3,3,4,3,4,4,1,1,1,4,1,3,1,4,1,1,1,4,4,3,3,4,1,4,1,3,1,1,2,1,1,8,1,9,7,2,4,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1
66,1,36,1,5,1,4,1,2,1,5,4,1,3,3,1,1,1,1,1,1,1,1,2,1,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,2,1,1,1,1,1,2,2,6,4,5,7,6,3,3,5,3,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4
68,1,28,7,5,2,4,2,6,2,6,7,2,7,7,2,1,1,1,1,1,1,1,3,1,3,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,1,2,3,1,1,1,1,2,2,2,8,6,2,9,9,9,4,6,3,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5
69,1,53,1,2,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,2,4,1,1,4,2,4,4,1,1,2,1,2,1,1,1,1,1,4,1,4,1,3,4,1,1,4,4,1,2,1,2,2,2,1,1,9,6,6,6,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
73,1,35,2,7,1,6,7,5,2,7,5,1,6,7,2,2,2,1,1,1,2,1,3,1,3,4,3,4,4,4,2,1,1,2,1,1,2,2,2,4,1,4,4,4,2,2,4,4,4,1,1,1,2,2,3,1,2,5,5,3,2,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
74,1,69,1,1,1,5,1,5,1,1,7,2,7,5,1,1,1,1,1,2,3,2,3,1,3,4,3,4,4,4,2,2,1,1,1,1,1,1,3,4,1,4,4,3,4,3,4,4,3,1,1,1,2,3,2,3,3,7,1,1,2,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
75,1,30,1,1,1,5,1,1,1,1,6,1,7,1,3,1,2,1,1,1,3,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,4,3,1,1,1,1,1,1,2,4,7,6,1,6,5,3,6,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1
76,1,30,2,6,2,6,2,6,5,6,7,4,6,6,2,1,1,1,2,1,1,1,3,2,3,4,3,3,4,4,3,1,1,1,1,1,1,1,1,4,1,3,4,4,4,4,3,3,3,1,1,1,2,5,6,9,9,1,8,7,6,6,6,7,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5
77,1,25,6,6,5,6,5,4,6,3,4,5,5,2,3,2,3,2,3,4,3,2,3,4,3,4,3,3,4,3,3,4,3,2,3,2,2,3,4,3,3,4,3,3,4,3,3,2,4,2,1,1,2,2,2,7,6,5,7,6,7,5,4,3,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5
78,1,34,3,6,2,3,3,3,2,5,4,2,4,2,3,1,1,2,2,1,1,1,3,3,2,3,2,1,3,1,1,2,1,3,1,2,2,2,1,1,2,3,2,2,2,2,1,3,2,1,2,1,1,1,1,8,8,2,4,4,2,5,5,3,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1
79,1,27,6,7,1,7,1,6,7,7,7,4,7,7,2,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,2,1,4,3,1,1,1,3,1,6,7,8,1,4,4,3,7,7,6,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1
80,1,63,2,4,2,6,2,5,6,6,7,2,7,7,1,1,1,1,1,2,2,1,4,1,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,4,1,1, ,1,2,4,6,1,1,5,4,5,3,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
81,1,33,4,3,2,2,4,4,2,1,4,5,5,3,1,2,4,3,3,2,1,3,2,2,2,3,2,1,2,4,2,3,1,3,1,4,2,2,4,3,1,3,2,4,1,3,2,2,4,3,2,1,2,1,1,8,6,3,4,5,7,4,3,2,4,6,5,4,3,2,4,4,3,5,4,3,1,3,4,5,3
82,1,38,3,4,2,6,4,4,5,4,4,5,4,3,1,1,1,1,4,3,4,3,3,3,3,2,3,2,3,2,1,4,2,3,3,4,1,2,4,4,2,4,4,3,4,4,2,4,2,1,4,2,2,2,2,4,5,5,1,6,2,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,1,38,3,5,3,5,3,5,5,5,5,5,5,5,3,2,2,2,2,2,3,2,3,3,3,3,3,1,3,3,1,2,1,1,1,2,1,1,2,1,1,3,3,3,3,3,1,3,2,1,2,1,2,3,3,6,6,4,2,2,2,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
84,1,36,1,1,1,7,1,1,1,1,7,1,7,1,2,1,1,1,1,1,4,1,4,4,1,4,4,4,4,4,2,4,1,4,1,1,1,1,1,4,1,3,3,3,4,4,4,4,4,4,4,1,2,1,1,7,7,1,5,1,5,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
85,1,25,5,5,5,6,6,6,5,5,5,6,6,5,3,2,3,3,3,3,4,3,2,3,4,3,3,3,2,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,2,2,2,1,2,5,6,8,8,7,5,6,6,7,6,1,2,1,6,6,6,5,6,6,6,5,6,5,7
86,1,51,2,5,2,7,2,3,3,5,6,3,6,5,2,1,1,1,2,1,1,1,3,1,3,4,3,2,3,1,2,2,1,1,1,1,1,1,1,2,1,3,3,3,3,2,3,3,1,1,2,1,2,6,6,7,5,5,6,6,6,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
87,1,45,1,3,1,5,1,4,1,2,7,1,6,1,1,1,1,1,1,2,2,1,3,2,2,4,3,3,2,2,1,1,1,2,1,1,1,2,3,2,3,4,3,4,4,3,4,4,3,1,2,1,2,6,8,8,7,2,6,2,2,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
88,1,27,4,5,5,3,3,6,3,6,3,5,3,6,2,4,3,2,4,2,3,2,3,2,2,3,3,2,3,2,4,2,3,2,2,4,3,2,4,2,3,2,3,3,2,3,1,3,3,3,2,3,3,7,5,4,7,4,5,8,5,3,7,3,6,3,6,5,2,6,4,3,6,4,1,6,3,3,6,2,5
89,1,36,1,5,1,6,1,1,4,5,7,1,7,5,1,1,1,1,1,1,1,1,4,1,3,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,2,3,3,1,1,1,1,4,7,9,9,9,1,3,3,1,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
90,1,61,4,6,1,3,1,4,1,4,5,1,4,3,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,3,1,9,2,2,2,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
91,1,26,5,7,7,6,6,5,4,7,6,6,7,7,2,3,3,2,1,2,3,1,4,3,4,4,3,3,2,1,1,1,1,1,2,3,1,1,1,1,1,4,4,4,4,4,3,2,3,1,1,1,2,2,3,8,8,2,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
93,1,31,1,2,1,6,1,1,1,1,7,1,7,4,2,1,1,1,1,1,1,1,3,1,3,4,3,3,4,4,1,1,1,1,1,1,1,1,1,3,1,4,4,3,3,3,3,4,3,1,1,1,2,2,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,32,2,2,1,3,2,2,1,2,2,1,1,3,2,4,4,3,2,3,3,2,1,1,3,3,2,4,3,3,1,3,4,3,2,2,4,3,3,4,3,2,3,2,3,2,2,3,3,2,3,1,2,4,3,5,7,5,3,2,2,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
96,1,76,2,2,2,6,2,3,3,2,4,2,4,1,3,1,1,1,1,1,1,1,1,1,1,4,3,2,3,1,1,1,1,1,1,1,1,1,1,3,1,4,4,4,4,3,1,3,1,1,1,1,1,6,6,9,1,9,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,1,67,1,6,1,6,1,1,1,6,6,1,6,6,1,1,1,1,1,1,1,1,2,1,3,4,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,2,1,3,1,1,1,1,2,6,7,9,8,1,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
98,1,25,1,5,1,4,1,1,1,2,5,1,6,5,1,1,1,1,1,1,1,1,3,1,3,4,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,4,2,2,2,2,2,1,2,1,1,1,1,2,6,9,5,6,4,2,6,2,6,2,2,5,2,4,4,7,7,3,6,6,2,5,6,2,5
99,1,32,2,6,4,6,4,2,2,6,6,6,7,6,2,1,1,1,1,1,1,1,3,1,3,3,3,3,3,2,2,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,2,2,2,3,4,5,4,4,3,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,1,48,1,7,1,7,1,7,4,7,6,1,7,4,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,2,4,1,3,1,1,2,9,9,5,9,1,7,2,7,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,1,33,1,1,1,7,1,1,3,1,5,3,6,3,1,1,1,1,1,1,1,1,4,1,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,4,1,1,1,1,2,9,8,4,1,8,1,1,1,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
103,1,33,1,2,1,5,1,2,1,4,6,1,5,5,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,2,3,1,1,1,1,1,2,2,4,8,8,4,7,6,3,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,1,27,1,4,5,6,1,2,4,4,6,1,6,2,3,2,2,1,1,2,3,3,2,1,2,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,1,2,1,1,1,1,2,2,1,3,1,8,2,2,1,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
107,1,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,2,7,2,7,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
108,1,28,6,6,2,5,2,2,2,2,2,2,3,5,4,2,3,2,2,3,3,2,3,1,3,3,3,4,3,2,2,2,3,2,2,3,2,2,3,4,2,4,3,4,3,3,2,3,3,1,3,3,1,1,1,1,1,2,3,2,2,6,6,6,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6
109,1,25,1,2,1,5,1,1,1,2,7,1,7,3,2,1,1,1,1,2,1,1,3,1,1,4,3,3,4,1,1,1,1,1,1,1,1,2,2,1,1,2,4,2,4,2,3,4,2,1,1,1,2,1,1,3,1,9,1,1,1,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
111,1,25,6,5,4,5,5,6,4,5,5,5,6,5,3,2,3,1,2,2,3,2,3,2,3,3,3,3,3,1,1,3,2,3,1,2,2,2,2,2,2,4,3,3,3,3,2,3,3,1,2,1,3,2,2,5,8,3,6,6,6,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,1,49,2,7,1,7,1,6,1,7,4,1,4,2,1,1,1,1,2,1,3,1,3,3,3,4,1,2,4,3,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,1,1,4,2,1,1,1,2,1,1,4,3,5,7,7,7,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,1,28,5,2,5,6,6,7,6,6,4,5,2,3,3,2,3,4,4,2,2,3,4,4,4,3,3,4,3,2,3,3,4,3,3,4,3,3,2,3,3,4,3,4,3,4,4,3,3,4,2,3,2,2,3,3,5,9,2,3,2,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,1,36,5,3,3,6,6,6,5,5,5,5,5,6,3,1,2,2,3,2,2,3,3,3,4,3,2,1,3,2,1,2,1,1,1,2,2,2,1,2,3,3,2,4,3,2,1,3,2,1,2,1,2,6,6,9,9,1,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
116,1,30,6,4,6,7,6,5,6,5,5,3,4,6,4,3,3,4,3,4,3,2,4,3,4,3,4,3,3,4,2,3,1,3,4,3,4,3,3,4,2,4,3,4,3,4,2,3,3,1,1,2,3,3,3,8,8,9,6,5,6,6,7,7,7,6,5,6,6,5,7,5,6,7,6,6,5,7,7,5,5
117,1,28,5,6,5,6,7,7,7,5,7,6,6,4,3,2,2,4,3,3,2,2,4,3,3,4,2,3,2,4,4,3,4,2,4,4,2,3,2,4,4,3,3,4,2,3,3,2,4,4,3,3,2,3,3,2,4,2,7,5,7,4,6,5,7,7,5,6,6,3,6,7,7,3,5,5,7,3,6,5,7
118,1,30,5,6,5,6,5,5,6,5,6,5,6,5,3,3,2,3,2,2,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,2,3,2,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7
119,1,38,4,2,4,6,3,4,2,2,4,2,5,3,2,1,1,1,1,1,2,1,2,1,2,3,1,3,4,1,2,1,1,1,1,1,1,1,1,1,2,3,4,3,2,1,3,4,1,1,1,1,3,5,6,9,5,2,4,4,4,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
120,1,57,6,7,2,3,5,6,2,7,5,1,7,5,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,4,2,1,1,1,1,1,1,6,6,7,8,1,8,3,6,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
121,1,26,6,7,7,7,4,7,6,7,7,5,7,6,1,3,1,2,1,1,3,1,3,3,2,4,2,1,4,1,2,2,1,2,2,1,2,4,1,1,2,4,4,2,4,1,3,1,1,1,2,1,2,6,6,9,9,1,9,9,9,6,6,7,7,6,2,7,5,1,5,7,1,6,7,7,7,7,7,5,1
307,1,30,1,2,1,5,1,1,1,2,6,1,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,8,1,6,7,5,4,5,7,5,2,5,6,2,2,4,5,6,7,6,3,1,5,7,5,1,1
308,1,30,7,5,2,7,2,2,2,6,5,3,6,6,2,1,2,3,3,3,4,2,4,2,3,3,4,4,4,3,2,2,1,2,1,3,4,1,3,4,2,3,4,3,4,3,2,4,4,1,3,1,2,2,2,1,2,8,1,1,1,6,6,6,7,7,5,6,7,6,7,2,5,7,7,7,7,7,7,6,6
309,1,35,3,4,4,6,3,2,4,4,5,1,4,3,3,2,3,3,2,2,3,1,3,3,2,3,4,3,1,3,3,3,4,2,1,3,3,2,4,3,3,4,2,4,3,3,4,2,4,4,2,1,2,1,1,8,1,8,2,4,5,4,5,3,5,6,5,3,5,3,6,4,2,5,6,3,5,4,4,5,6
312,1,34,1,7,1,6,1,2,1,7,7,1,7,5,3,1,1,1,4,4,4,3,3,1,3,4,3,3,3,1,2,1,1,3,1,2,1,1,2,4,2,3,4,3,3,2,4,3,1,1,1,1,1,1,1,9,6,7,5,4,2,7,7,7,7,5,4,6,4,7,7,7,5,4,5,5,5,4,4,3,3
316,1,39,5,7,2,5,2,1,2,7,5,2,5,6,1,1,1,2,1,2,1,1,3,1,2,3,2,1,3,1,2,1,1,2,1,1,2,1,1,2,1,3,3,2,3,2,2,3,1,1,1,1,2,1,1,2,1,9,4,3,2,6,3,7,5,2,6,7,7,6,7,7,7,6,7,7,6,7,7,6,6
318,1,25,3,5,4,4,3,2,3,5,5,4,6,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,2,2,2,6,4,3,4,4,4,5,6,6,6,6,3,6,5,5,6,5,6,5,5,5,6,6,5,5,5
321,1,30,3,2,1,2,2,5,5,5,6,6,5,5,3,1,3,3,2,3,2,2,2,2,2,3,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,3,2,2,7,8,4,7,6,6,6,5,7,2,7,3,5,6,6,6,5,6,6,6,6,6,5,6,5,5
322,1,32,1,7,4,7,4,7,4,7,7,1,7,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,2,1,1,1,1,2,5,5,9,9,1,8,8,8,1,7,7,1,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,1
323,1,33,2,7,1,5,1,4,2,7,6,2,6,5,1,1,1,1,1,1,2,1,2,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,1,1,2,1,1,8,7,2,8,3,4,4,6,2,6,7,5,1,6,4,4,4,6,5,5,5,6,3,3,2,1
324,1,32,2,6,1,5,1,5,3,7,5,3,4,7,1,1,1,1,2,1,2,1,3,1,3,3,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,4,4,3,3,2,1,3,2,2,1,1,2,1,2,9,9,1,7,4,3,5,5,6,5,6,7,2,7,7,6,5,1,5,5,5,5,5,5,3,1
326,1,45,1,4,4,5,1,1,1,1,5,1,5,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,1,2,1,1,1,1,2,1,1,1,1,9,2,2,2,5,6,6,7,6,6,6,6,7,6,7,7,6,5,6,6,6,6,5,5
328,1,31,5,3,4,3,4,6,5,4,3,5,6,5,2,3,3,4,3,2,3,3,4,3,3,4,3,3,2,3,3,4,3,3,3,4,2,3,3,4,3,2,3,3,4,3,4,3,3,3,4,2,2,1,1,1,7,5,6,6,7,5,6,5,3,4,2,5,5,4,6,5,6,4,3,4,5,6,4,5,6
329,1,43,1,1,1,6,1,1,1,1,6,1,6,5,1,1,1,1,1,1,1,1,3,1,2,3,2,2,4,1,1,2,1,1,1,1,1,1,1,4,2,3,3,3,3,2,3,3,3,1,2,1,2,4,5,2,1,9,3,3,2,5,5,6,5,6,6,7,7,7,7,7,6,5,7,7,7,6,6,4,6
331,1,39,1,1,1,6,1,3,1,1,6,1,6,4,1,1,1,1,1,1,1,1,2,1,1,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,1,2,1,1,1,1,2,2,1,1,1,8,2,1,2,5,5,7,3,3,2,7,7,4,4,1,5,7,7,7,7,7,7,5,5
334,1,50,5,6,5,5,3,5,5,5,4,5,4,5,1,1,1,2,2,1,1,2,2,1,3,3,2,2,3,2,2,2,1,2,2,1,3,2,2,1,2,3,3,3,4,3,3,2,3,2,1,2,2,5,4,5,7,3,7,6,4,3,4,3,2,5,3,4,3,3,6,6,5,5,3,4,4,3,4,5,3
335,1,30,1,6,4,5,1,1,1,6,6,1,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,1,1,2,1,1,1,1,2,2,1,1,1,9,2,2,2,5,5,5,6,6,5,6,6,4,7,7,7,6,6,6,6,6,6,6,6
336,1,34,6,4,5,4,3,5,6,4,5,4,5,4,3,2,3,2,2,3,3,3,2,2,4,3,4,3,2,3,2,3,3,2,3,2,3,2,3,3,3,4,3,3,2,3,3,2,3,2,3,3,2,2,1,8,7,7,7,5,6,5,3,3,5,5,4,5,4,3,5,4,5,4,5,5,4,2,5,4,5
337,1,37,6,4,5,5,5,7,5,3,6,6,5,7,3,4,4,4,4,3,2,3,4,4,3,2,2,2,3,4,3,3,3,3,3,3,3,2,4,3,3,3,2,3,3,3,3,3,3,3,2,3,2,1,1,7,9,8,6,9,5,5,3,7,7,7,7,1,1,5,4,5,6,3,6,7,4,3,5,7,7
338,1,26,6,4,6,4,6,4,2,4,1,4,2,6,3,3,2,3,1,1,2,3,4,1,3,4,3,2,3,4,4,3,4,1,4,3,2,1,2,3,1,3,4,4,3,4,2,3,2,4,3,1,2,2,2,8,5,1,2,3,4,6,7,4,4,6,5,6,6,7,4,2,4,6,7,7,7,7,6,7,7
339,1,47,5,4,2,4,2,6,2,4,5,2,5,6,1,1,1,1,2,1,1,2,2,1,3,3,3,1,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,1,3,1,2,1,1,1,2,2,7,7,2,8,4,2,3,5,3,5,3,7,5,4,4,4,3,5,7,5,5,6,3,3,2,2
340,1,66,2,4,1,5,1,1,4,4,7,1,7,5,1,1,1,1,1,1,1,1,3,1,1,3,2,2,4,4,1,1,1,1,1,1,1,1,1,4,1,4,3,3,4,2,2,4,2,1,1,1,2,1,1,2,1,9,6,2,2,5,6,6,7,6,2,5,3,6,7,7,7,5,3,5,5,3,3,5,5
341,1,25,6,6,5,5,4,5,6,4,6,4,5,4,3,2,2,3,3,2,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,2,2,3,2,3,4,3,2,3,1,2,2,2,8,6,7,3,4,3,6,5,5,6,5,4,5,6,5,4,6,5,4,5,5,4,5,6,5,4
342,1,29,1,6,1,7,1,6,6,6,7,6,7,7,1,1,1,1,3,1,2,1,3,3,4,4,3,3,4,3,1,4,1,1,1,1,1,4,1,3,3,4,4,4,4,3,1,2,1,1,4,3,2,2,4,9,4,2,5,2,2,7,7,7,7,7,2,2,1,4,6,7,3,7,7,7,7,6,6,5,2
343,1,62,2,2,1,5,1,2,2,2,4,2,4,2,1,1,1,1,1,1,1,1,3,1,3,4,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,3,1,3,3,2,1,2,1,1,1,1,2,1,1,3,3,3,8,2,6,2,6,2,5,6,3,2,2,5,7,7,3,3,2,2,3,2,2,2,2
345,1,27,5,6,3,3,5,6,4,3,5,4,6,5,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,4,3,2,1,3,3,2,1,2,3,3,2,3,3,3,2,3,2,1,2,3,3,2,2,2,2,6,5,3,4, ,3,6,3,3,4,5,3,3,4,5,4,6,4,3,5,4,3,5,6,5,3
346,1,53,5,5,5,4,7,6,2,6,5,2,4,6,2,1,1,1,1,2,1,1,4,2,3,3,3,1,3,1,2,1,1,3,1,1,1,1,3,4,1,4,4,4,4,4,3,3,4,1,1,1,2,1,1,9,9,1,9,9,9,5,5,6,6,4,2,6,6,2,5,6,3,4,5,5,4,4,4,4,2
347,1,32,4,4,5,3,5,4,5,5,4,5,2,5,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,1,1,1,1,1,1,2,2,2,7,3,5,4,5,3,4,5,3,5,4,5,4,5,3,4,4,3,3,4,4,3,3,6,4,4
349,1,32,4,5,5,5,4,4,5,6,6,5,5,5,2,3,2,2,3,3,3,2,2,2,2,3,3,3,4,3,3,4,3,3,3,3,4,3,4,4,2,2,3,2,3,3,3,2, ,3,3,2,2,2,2,6,3,3,2,2,3,5,6,5,6,6,6,5,4,4,5,5,5,7,7,7,6,6,6,5,5
350,1,26,4,4,5,6,5,5,4,5,5,5,5,5,1,1,1,2,2,2,3,1,2,3,3,3,3,1,4,2,1,2,1,1,1,3,1,1,3,3,1,3,4,3,3,3,2,3,3,1,2,1,2,2,1,7,7,3,7,7,7,5,6,6,6,6,5,4,4,4,5,6,7,5,4,4,6,6,6,4,3
353,1,34,1,6,1,5,4,5,3,6,6,3,7,5,1,1,1,1,2,1,1,1,3,1,3,4,3,3,3,1,1,1,1,2,1,2,1,1,1,2,1,4,4,3,4,3,1,3,1,1,1,1,2,3,2,7,7,2,2,2,2,5,6,3,6,5,3,6,6,7,7,5,2,5,5,5,4,3,6,3,2
354,1,26,1,1,1,7,1,1,5,1,7,6,7,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,3,1,1,1,1,8,8,8,9,9,1,7,5,7,6,7,7,7,7,6,7,7,4,4,6,1,7,7,7,7,7,7,5,5
