Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
382,0,43,1,12,1,19,10,1,2,6,6,4,3,4,3,5,3,3,5,5,2,4,4
35,0,42,1,1,1,30,1,1,0,4,5,1,1,4,4,4,5,1,1,7,1,7,1
124,1,42,1,5,1,17,8,1,1,1,7,4,6,1,4,1,1,4,6,4,1,4,6
147,1,42,1,8,1,14,20,4,4,3,7,5,5,1,7,1,2,2,4,6,2,6,2
204,1,42,1,4,1,21,4,1,30,1,7,6,6,1,7,1,1,1,6,5,1,5,6
273,1,42,1,1,1,23,1,1,2,7,1,2,3,5,6,5,1,1,2,6,1,6,6
359,0,42,1,2,1,28,1,1,3,2,2,5,1,3,7,2,4,2,1,7,4,7,1
396,0,42,1,5,1,15,20,1,12,4,4,5,4,4,5,4,5,4,4,6,4,5,5
157,1,42,0,6,1,14,6,0,0,6,5,7,1,2,6,3,1,2,1,6,2,4,2
178,1,41,1,5,1,19,1,1,4,2,4,5,5,1,6,1,1,2,4,6,2,6,5
192,1,41,1,4,1,21,2,1,0,3,4,5,4,4,5,3,2,2,4,5,2,6,4
260,1,41,1,7,1,26,2,1,0,1,4,5,2,3,3,1,1,1,3,4,1,4,2
129,1,41,0,4,1,18,2,0,0,4,7,6,4,3,6,2,3,6,4,6,2,6,5
197,1,41,0,6,1,17,5,1,2,2,6,6,2,2,6,2,2,4,3,6,3,6,3
207,1,41,0,6,1,15,65,1,0,2,7,2,1,5,7,2,5,7,2,5,2,3,1
53,0,40,1,15,1,18,23,1,9,3,7,5,1,1,7,1,2,2,1,5,1,5,3
125,1,40,1,3,1,17,2,1,6,1,6,6,6,2,5,2,2,2,6,6,2,6,6
284,1,40,1,10,1,16,8,1,3,2,3,6,4,1,4,1,3,1,3,6,1,5,4
393,0,40,1,8,1,21,5,1,10,1,2,6,6,1,6,2,2,1,6,5,1,5,5
55,0,40,0,7,1,25,4,0,0,4,4,7,7,1,6,1,2,2,7,7,1,7,4
162,1,40,0,20,1,15,20,1,0,5,7,3,5,1,7,1,7,2,5,7,2,7,2
134,1,39,1,5,1,18,5,1,6,2,6,6,5,2,7,2,5,3,5,6,2,4,5
137,1,39,1,11,1,14,5,1,8,2,2,5,5,3,6,5,6,2,5,3,5,3,5
171,1,39,1,30,1,17,20,1,10,2,2,6,6,2,6,2,5,2,7,6,2,6,7
214,1,39,1,30,1,17,30,1,20,1,2,7,7,5,6,1,3,1,7,6,1,6,7
221,1,39,1,3,1,17,3,1,20,3,2,5,3,2,6,3,2,3,5,2,3,6,2
240,1,39,1,1,1,21,1,1,0,1,1,7,1,1,1,1,1,1,1,7,1,1,1
290,1,39,1,2,1,20,4,0,0,5,6,7,2,4,4,4,1,4,4,5,6,5,1
316,0,39,1,5,1,23,2,1,10,5,7,6,7,2,5,2,1,2,7,5,2,5,6
361,0,39,1,3,1,15,5,1,17,5,3,6,5,5,5,5,4,6,6,6,5,4,6
331,0,39,0,8,1,19,8,1,0,1,7,6,1,1,6,1,3,1,1,6,1,6,4
82,0,38,1,5,1,32,1,1,5,3,4,5,4,2,6,4,4,5,4,4,5,4,3
83,0,38,1,5,1,21,5,1,1,3,3,5,5,3,5,3,5,5,5,5,5,5,5
149,1,38,1,5,1,14,20,1,4,2,6,4,5,1,5,1,1,1,7,4,1,3,6
210,1,38,1,6,1,17,6,1,13,1,1,7,3,1,7,1,1,1,1,6,1,6,2
286,1,38,1,2,1,26,1,1,5,2,4,5,5,2,5,2,3,2,5,5,2,5,4
292,1,38,1,11,1,15,11,1,20,1,7,4,4,4,4,4,4,3,3,3,3,3,4
297,1,38,1,5,1,18,5,1,12,1,1,5,6,3,3,1,1,1,6,5,1,5,2
306,0,38,1,10,1,27,1,1,4,6,6,5,6,6,5,5,6,4,5,4,5,5,6
119,0,38,0,10,1,15,15,2,6,4,5,4,2,4,6,3,4,2,2,4,2,5,3
390,0,38,0,5,1,16,5,1,10,5,4,3,5,6,5,2,3,4,2,6,3,3,1
67,0,37,1,2,1,21,2,2,10,6,2,4,6,7,5,6,7,6,6,7,3,6,7
