ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
101,0,33,0,8,14,26,1,20,1,1,1,7,1,1,3,1,5,3,6,3
102,0,49,0,6,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5
103,0,33,0,15,15,9,1,25,1,2,1,5,1,2,1,4,6,1,5,5
104,0,27,0,3,19,2,1,3,1,4,5,6,1,2,4,4,6,1,6,2
106,0,29,0,5,15,5,1,30,6,6,6,7,5,3,3,4,5,5,5,4
107,0,36,0,7,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1
108,0,28,0,5, ,0,0,0,6,6,2,5,2,2,2,2,2,2,3,5
109,0,25,0,4,19,2,1,5,1,2,1,5,1,1,1,2,7,1,7,3
110,0,29,0,1,28,1,1,3,6,4,3,6,7,6,4,7,6,4,7,5
111,0,25,0,2,19,2,2,3,6,5,4,5,5,6,4,5,5,5,6,5
112,0,49,1,6,21,6,1,0,2,7,1,7,1,6,1,7,4,1,4,2
113,0,28,0,2,27,2,1,1,5,2,5,6,6,7,6,6,4,5,2,3
114,0,36,0,8,12,6,1,6,5,3,3,6,6,6,5,5,5,5,5,6
115,0,36,0,5,17,5,1,1,7,6,7,6,6,5,7,4,7,5,7,4
116,0,30,0,2,20,2,2,5,6,4,6,7,6,5,6,5,5,3,4,6
117,0,28,0, ,13,4,1,4,5,6,5,6,7,7,7,5,7,6,6,4
119,0,38,1,10,15,15,2,6,4,2,4,6,3,4,2,2,4,2,5,3
120,0,57,0,6,18,10,0,0,6,7,2,3,5,6,2,7,5,1,7,5
121,0,26,1,12,15,13,1,0,6,7,7,7,4,7,6,7,7,5,7,6
122,1,26,0,2,25,1,1,3,5,3,4,6,5,6,7,3,7,4,6,7
123,1,24,0,1,23,1,1,1,6,4,5,3,4,5,3,5,6,4,2,4
124,1,42,0,5,17,8,1,1,1,6,1,4,1,1,4,6,4,1,4,6
125,1,40,0,3,17,2,1,6,1,6,2,5,2,2,2,6,6,2,6,6
126,1,44,0,3,20,2,1,8,2,2,2,7,2,2,1,2,6,1,6,2
128,1,25,0,5,14,5,1,0,4,6,5,5,4,6,3,5,7,1,7,7
129,1,41,1,4,18,2,0,0,4,4,3,6,2,3,6,4,6,2,6,5
131,1,29,1,1,20,11,1,0,1,1,1,7,1,2,4,1,7,2,7,1
132,1,24,0,1,21,1,1,1,7,4,5,5,4,4,4,4,5,4,5,5
133,1,33,0,8,16,7,1,3,3,5,2,5,3,3,2,5,4,2,4,5
134,1,39,0,5,18,5,1,6,2,5,2,7,2,5,3,5,6,2,4,5
135,1,43,0,4,15,4,1,8,3,1,1,6,2,1,4,1,6,3,6,1
136,1,28,0,1,16,1,1,3,1,5,1,4,1,1,1,4,5,1,6,4
137,1,39,0,11,14,5,1,8,2,5,3,6,5,6,2,5,3,5,3,5
