Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
91,1,26,1,3,1,18,5,1,4,5,7,6,7,7,6,6,5,4,7,6,6,7,7
92,1,34,1,5,1,16,20,0,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4
93,1,31,1,1,1,21,1,1,6,1,4,5,2,1,6,1,1,1,1,7,1,7,4
94,1,32,1,3,1,18,3,1,5,2,1,2,2,1,3,2,2,1,2,2,1,1,3
96,1,76,2,4,1,14,20,0,0,2,5,5,2,2,6,2,3,3,2,4,2,4,1
97,1,67,1,20,1,17,12,1,2,1,1,6,6,1,6,1,1,1,6,6,1,6,6
98,1,25,1,3,2, ,0,0,0,1,1,7,5,1,4,1,1,1,2,5,1,6,5
99,1,32,2,5,1,15,4,1,0,2,7,7,6,4,6,4,2,2,6,6,6,7,6
100,1,48,1,11,1,15, ,1,12,1,1,4,7,1,7,1,7,4,7,6,1,7,4
101,1,33,1,8,1,14,26,1,20,1,1,7,1,1,7,1,1,3,1,5,3,6,3
102,1,49,1,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5
103,1,33,1,15,1,15,9,1,25,1,1,6,2,1,5,1,2,1,4,6,1,5,5
104,1,27,1,3,1,19,2,1,3,1,5,6,4,5,6,1,2,4,4,6,1,6,2
106,1,29,1,5,1,15,5,1,30,6,5,5,6,6,7,5,3,3,4,5,5,5,4
107,1,36,1,7,1,16,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,28,1,5,2, ,0,0,0,6,2,6,6,2,5,2,2,2,2,2,2,3,5
109,1,25,1,4,1,19,2,1,5,1,1,7,2,1,5,1,1,1,2,7,1,7,3
110,1,29,1,1,1,28,1,1,3,6,4,6,4,3,6,7,6,4,7,6,4,7,5
111,1,25,1,2,1,19,2,2,3,6,4,4,5,4,5,5,6,4,5,5,5,6,5
112,1,49,2,6,1,21,6,1,0,2,6,7,7,1,7,1,6,1,7,4,1,4,2
113,1,28,1,2,1,27,2,1,1,5,6,5,2,5,6,6,7,6,6,4,5,2,3
114,1,36,1,8,1,12,6,1,6,5,5,5,3,3,6,6,6,5,5,5,5,5,6
115,1,36,1,5,1,17,5,1,1,7,2,7,6,7,6,6,5,7,4,7,5,7,4
116,1,30,1,2,1,20,2,2,5,6,7,5,4,6,7,6,5,6,5,5,3,4,6
117,1,28,1, ,1,13,4,1,4,5,4,7,6,5,6,7,7,7,5,7,6,6,4
119,1,38,2,10,1,15,15,2,6,4,5,4,2,4,6,3,4,2,2,4,2,5,3
120,1,57,1,6,1,18,10,0,0,6,6,5,7,2,3,5,6,2,7,5,1,7,5
121,1,26,2,12,1,15,13,1,0,6,6,7,7,7,7,4,7,6,7,7,5,7,6
122,2,26,1,2,1,25,1,1,3,5,3,5,3,4,6,5,6,7,3,7,4,6,7
123,2,24,1,1,1,23,1,1,1,6,5,3,4,5,3,4,5,3,5,6,4,2,4
124,2,42,1,5,1,17,8,1,1,1,7,4,6,1,4,1,1,4,6,4,1,4,6
125,2,40,1,3,1,17,2,1,6,1,6,6,6,2,5,2,2,2,6,6,2,6,6
126,2,44,1,3,1,20,2,1,8,2,5,3,2,2,7,2,2,1,2,6,1,6,2
128,2,25,1,5,1,14,5,1,0,4,5,6,6,5,5,4,6,3,5,7,1,7,7
129,2,41,2,4,1,18,2,0,0,4,7,6,4,3,6,2,3,6,4,6,2,6,5
131,2,29,2,1,1,20,11,1,0,1,7,7,1,1,7,1,2,4,1,7,2,7,1
132,2,24,1,1,1,21,1,1,1,7,7,5,4,5,5,4,4,4,4,5,4,5,5
133,2,33,1,8,1,16,7,1,3,3,6,4,5,2,5,3,3,2,5,4,2,4,5
134,2,39,1,5,1,18,5,1,6,2,6,6,5,2,7,2,5,3,5,6,2,4,5
135,2,43,1,4,1,15,4,1,8,3,1,1,1,1,6,2,1,4,1,6,3,6,1
136,2,28,1,1,1,16,1,1,3,1,7,6,5,1,4,1,1,1,4,5,1,6,4
137,2,39,1,11,1,14,5,1,8,2,2,5,5,3,6,5,6,2,5,3,5,3,5
138,2,27,1,10,1,17,10,1,10,2,5,7,5,1,7,1,1,1,7,7,1,7,5
139,2,50,1,2,1,19,2,1,4,1,5,7,1,1,3,1,1,1,1,7,1,7,7
140,2,44,1,3,1,16,3,1,0,1,1,5,1,1,6,1,1,1,1,7,1,6,1
141,2,27,1,100,1,21,1,1,10,2,2,3,3,4,4,4,4,3,4,3,4,3,4
142,2,52,1,10,1,14,68,1,6,7,6,5,7,6,7,4,7,6,7,6,3,7,7
143,2,27,1,2,1,22,2,1,9,4,5,5,5,5,5,5,4,4,4,4,4,4,4
144,2,32,1,5,1,17,5,1,30,1,7,7,7,1,7,1,1,7,7,7,7,7,7
145,2,29,1,2,2, ,0,0,0,6,4,3,3,5,3,4,5,1,5,2,3,3,4
146,2,57,1,7,1,18,6,1,0,1,1,4,7,1,5,1,1,1,7,7,1,7,6
