Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
114,0,5,5,5,3,3,6,6,6,5,5,5,5,5,6
116,0,6,7,5,4,6,7,6,5,6,5,5,3,4,6
117,0,5,4,7,6,5,6,7,7,7,5,7,6,6,4
118,0,5,6,5,6,5,6,5,5,6,5,6,5,6,5
119,0,4,5,4,2,4,6,3,4,2,2,4,2,5,3
120,0,6,6,5,7,2,3,5,6,2,7,5,1,7,5
121,0,6,6,7,7,7,7,4,7,6,7,7,5,7,6
124,1,1,7,4,6,1,4,1,1,4,6,4,1,4,6
125,1,1,6,6,6,2,5,2,2,2,6,6,2,6,6
126,1,2,5,3,2,2,7,2,2,1,2,6,1,6,2
127,1,5,3,2,2,5,6,4,6,5,5,4,6,4,5
128,1,4,5,6,6,5,5,4,6,3,5,7,1,7,7
131,1,1,7,7,1,1,7,1,2,4,1,7,2,7,1
133,1,3,6,4,5,2,5,3,3,2,5,4,2,4,5
134,1,2,6,6,5,2,7,2,5,3,5,6,2,4,5
135,1,3,1,1,1,1,6,2,1,4,1,6,3,6,1
136,1,1,7,6,5,1,4,1,1,1,4,5,1,6,4
137,1,2,2,5,5,3,6,5,6,2,5,3,5,3,5
138,1,2,5,7,5,1,7,1,1,1,7,7,1,7,5
139,1,1,5,7,1,1,3,1,1,1,1,7,1,7,7
141,1,2,2,3,3,4,4,4,4,3,4,3,4,3,4
142,1,7,6,5,7,6,7,4,7,6,7,6,3,7,7
143,1,4,5,5,5,5,5,5,4,4,4,4,4,4,4
144,1,1,7,7,7,1,7,1,1,7,7,7,7,7,7
146,1,1,1,4,7,1,5,1,1,1,7,7,1,7,6
147,1,3,7,5,5,1,7,1,2,2,4,6,2,6,2
148,1,1,4,6,1,1,5,1,1,1,1,4,1,5,5
149,1,2,6,4,5,1,5,1,1,1,7,4,1,3,6
150,1,5,5,7,2,2,3,2,1,5,2,6,2,6,1
151,1,1,4,7,7,4,7,1,1,1,7,7,1,7,7
152,1,2,2,5,5,5,6,6,2,2,6,6,6,6,6
153,1,1,4,4,5,1,5,1,1,1,5,4,1,4,4
154,1,7,6,6,1,6,6,6,7,7,6,7,7,7,7
155,1,6,2,5,4,5,7,5,3,5,5,7,3,7,3
156,1,6,7,6,6,2,5,2,5,6,6,7,4,7,6
157,1,6,5,7,1,2,6,3,1,2,1,6,2,4,2
158,1,1,4,5,6,1,6,1,4,1,7,7,1,7,6
159,1,2,6,6,4,2,6,2,2,2,4,4,2,4,4
160,1,1,1,2,1,1,1,1,1,1,1,7,1,7,1
162,1,5,7,3,5,1,7,1,7,2,5,7,2,7,2
163,1,3,5,5,5,1,3,1,1,1,5,5,1,4,5
164,1,1,1,1,4,1,1,1,3,1,6,4,1,1,1
165,1,1,6,7,7,3,7,1,1,1,6,6,1,7,6
166,1,6,6,6,4,4,5,4,2,6,4,6,4,6,6
167,1,1,1,5,2,7,1,7,2,1,1,7,1,7,1
168,1,2,2,5,5,6,5,5,1,1,5,5,5,6,6
169,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7
170,1,1,5,5,1,1,5,1,3,4,1,6,1,6,3
171,1,2,2,6,6,2,6,2,5,2,7,6,2,6,7
172,1,2,1,5,6,2,6,2,3,2,6,6,2,7,6
173,1,2,5,6,7,3,6,3,3,3,7,5,5,5,5
174,1, , , , , , , , , , , , , , 
175,1,4,5,6,7,1,7,1,3,2,4,7,2,7,6
176,1,4,6,6,2,3,3,3,3,2,2,5,2,5,3
177,1,1,1,1,4,1,5,1,2,1,6,6,1,6,6
178,1,2,4,5,5,1,6,1,1,2,4,6,2,6,5
179,1,2,1,6,7,1,6,1,6,1,7,6,1,7,3
180,1,2,2,2,2,2,7,2,2,2,2,5,1,6,2
184,1,1,5,6,5,1,4,1,2,2,6,2,2,4,2
185,1,1,1,2,4,2,3,1,1,1,4,6,1,5,4
186,1,6,4,4,2,2,5,1,4,4,1,6,1,6,2
