ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12
233,1,34,0,7,23,7,1,4,1,7,1,7,1,4,1,7,7,1,7,5
264,1,34,0,5,15,3,1,1,6,3,6,6,6,6,6,4,6,6,6,6
267,1,34,0,4,23,1,1,4,1,6,3,7,3,5,2,7,7,3,7,5
282,1,34,0,3,14,4,1,0,1,7,1,5,1,2,1,7,6,1,5,7
296,1,34,0,2,18,4,1,5,1,4,1,7,1,6,1,4,6,1,7,4
312,0,34,1,2,18,2,0,0,1,7,1,6,1,2,1,7,7,1,7,5
332,0,34,0,5,18,11,2,2,3,5,3,6,3,3,3,4,5,3,4,3
336,0,34,0,1,27,1,1,5,6,4,5,4,3,5,6,4,5,4,5,4
353,0,34,0,6,16,6,1,15,1,6,1,5,4,5,3,6,6,3,7,5
366,0,34,0,3,22,8,1,2,2,7,5,4,5,2,4,7,7,1,7,6
28,0,33,0,2,18,2,1,1,6,7,5,6,5,6,5,7,6,4,6,7
41,0,33,0,3,21,3,1,25,2,5,6,7,2,2,7,6,6,2,1,6
81,0,33,0,3,17,3,1,4,4,3,2,2,4,4,2,1,4,5,5,3
101,0,33,0,8,14,26,1,20,1,1,1,7,1,1,3,1,5,3,6,3
103,0,33,0,15,15,9,1,25,1,2,1,5,1,2,1,4,6,1,5,5
133,1,33,0,8,16,7,1,3,3,5,2,5,3,3,2,5,4,2,4,5
150,1,33,0,3,19,5,1,0,5,2,2,3,2,1,5,2,6,2,6,1
151,1,33,0,15,16,15,1,1,1,7,4,7,1,1,1,7,7,1,7,7
155,1,33,0,10,16,7,1,2,6,4,5,7,5,3,5,5,7,3,7,3
179,1,33,0,13,15,10,1,8,2,7,1,6,1,6,1,7,6,1,7,3
228,1,33,0,5,19,5,1,11,2,1,5,7,4,1,3,2,3,6,4,5
248,1,33,0,10,18,12,1,4,7,7,1,7,1,3,1,7,7,1,7,5
261,1,33,0,3,18,6,1,15,3,6,1,6,1,3,2,6,7,1,7,6
265,1,33,0,1,25,1,1,5,3,5,3,4,3,3,3,4,5,3,4,3
304,1,33,0,8,17,11,1,0,4,4,4,4,4,4,4,4,4,4,4,4
313,0,33,0,5,20,16,1,2,1,4,4,5,4,4,2,4,5,5,5,6
323,0,33,1,7,26,5,1,0,2,7,1,5,1,4,2,7,6,2,6,5
352,0,33,0,4,16,2,1,10,6,7,5,4,6,7,4,7,4,6,7,5
395,0,33,0,3,8,3,2,1,3,2,2,7,2,6,6, ,6,5,7,2
400,0,33,0,26,17,26,1,20,5,5,5,7,7,6,7,5,7,5,7,5
34,0,32,0,5,27,1,1,8,1,2,2,6,2,2,2,3,5,2,7,2
42,0,32,1,5,18,23,19,3,6,7,4,7,5,5,6,7,6,4,6,4
47,0,32,0,3,21,1,1,7,1,7,5,5,2,6,5,5,4,2,5,6
52,0,32,0,7,17,12,1,15,5,5,3,6,4,2,4,6,6,4,6,4
94,0,32,0,3,18,3,1,5,2,2,1,3,2,2,1,2,2,1,1,3
99,0,32,1,5,15,4,1,0,2,6,4,6,4,2,2,6,6,6,7,6
144,1,32,0,5,17,5,1,30,1,7,1,7,1,1,7,7,7,7,7,7
168,1,32,0,3,18,3,1,6,2,5,6,5,5,1,1,5,5,5,6,6
187,1,32,0,3,21,1,1,4,4,4,4,3,2,3,4,4,4,3,3,3
211,1,32,0,1,23,1,1,1,1,5,1,4,1,1,1,5,5,1,5,5
216,1,32,0,2,23,5,1,2,2,6,2,6,2,6,2,6,6,2,6,2
226,1,32,0,6,19,6,1,1,1,6,1,4,1,6,1,6,7,1,6,6
258,1,32,0,5,19,5,1,6,1,1,1,3,1,1,2,1,7,1,6,1
271,1,32,0,11,18,11,1,8,1,2,1,6,1,5,1,2,7,1,7,2
