Participant_ID,SEX,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
68,0,7,4,3,5,2,4,2,6,2,6,7,2,7,7,4,6,3,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5
69,0,1,4,3,2,1,1,1,1,1,1,4,1,4,1,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
73,0,2,2,2,7,1,6,7,5,2,7,5,1,6,7,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
74,0,1,3,3,1,1,5,1,5,1,1,7,2,7,5,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
75,0,1,7,7,1,1,5,1,1,1,1,6,1,7,1,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1
76,0,2,6,2,6,2,6,2,6,5,6,7,4,6,6,6,6,7,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5
77,0,6,4,5,6,5,6,5,4,6,3,4,5,5,2,5,4,3,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5
78,0,3,5,3,6,2,3,3,3,2,5,4,2,4,2,5,5,3,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1
79,0,6,4,1,7,1,7,1,6,7,7,7,4,7,7,7,7,6,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1
80,0,2,6,2,4,2,6,2,5,6,6,7,2,7,7,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
81,0,4,3,5,3,2,2,4,4,2,1,4,5,5,3,4,3,2,4,6,5,4,3,2,4,4,3,5,4,3,1,3,4,5,3
82,0,3,4,3,4,2,6,4,4,5,4,4,5,4,3,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,0,3,5,3,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
84,0,1,1,1,1,1,7,1,1,1,1,7,1,7,1,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
85,0,5,2,2,5,5,6,6,6,5,5,5,6,6,5,7,5,6,6,7,6,1,2,1,6,6,6,5,6,6,6,5,6,5,7
86,0,2,3,3,5,2,7,2,3,3,5,6,3,6,5,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
87,0,1,1,1,3,1,5,1,4,1,2,7,1,6,1,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
88,0,4,2,5,5,5,3,3,6,3,6,3,5,3,6,3,7,3,6,3,6,5,2,6,4,3,6,4,1,6,3,3,6,2,5
89,0,1,1,1,5,1,6,1,1,4,5,7,1,7,5,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
90,0,4,4,2,6,1,3,1,4,1,4,5,1,4,3,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
91,0,5,1,2,7,7,6,6,5,4,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
93,0,1,4,3,2,1,6,1,1,1,1,7,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0,2,7,6,2,1,3,2,2,1,2,2,1,1,3,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
96,0,2,3,3,2,2,6,2,3,3,2,4,2,4,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
97,0,1,7,2,6,1,6,1,1,1,6,6,1,6,6,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
98,0,1,7,1,5,1,4,1,1,1,2,5,1,6,5,2,6,2,6,2,2,5,2,4,4,7,7,3,6,6,2,5,6,2,5
99,0,2,1,1,6,4,6,4,2,2,6,6,6,7,6,7,7,6,7,7,6,7,7,4,6,7,6,2,6,6,1,6,6,5,5
100,0,1,7,4,7,1,7,1,7,4,7,6,1,7,4,5,6,7,6,4,1,7,7,4,7,7,1,7,7,7,5,6,6,1,4
101,0,1,7,1,1,1,7,1,1,3,1,5,3,6,3,6,7,4,7,4,1,7,7,7,7,7,5,3,6,4, ,5,5,7,6
103,0,1,7,2,2,1,5,1,2,1,4,6,1,5,5,5,5,5,6,6,6,7,7,4,7,7,5,3,6,6,5,6,6,2,4
104,0,1,3,2,4,5,6,1,2,4,4,6,1,6,2,6,6,5,6,7,7,4,4,4,6,7,7,5,4,4,5,3,3,1,1
107,0,1,7,7,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
108,0,6,6,2,6,2,5,2,2,2,2,2,2,3,5,6,6,6,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6
109,0,1,7,1,2,1,5,1,1,1,2,7,1,7,3,5,6,6,5,5,5,6,6,6,6,7,7,7,7,7,5,5,4,4,1
111,0,6,4,4,5,4,5,5,6,4,5,5,5,6,5,5,6,5,4,5,5,5,5,6,6,4,5,5,5,5,4,5,5,6,6
112,0,2,2,1,7,1,7,1,6,1,7,4,1,4,2,7,7,6,7,5,3,3,5,7,4,7,2,6,3,3,6,5,5,1,1
113,0,5,2,3,2,5,6,6,7,6,6,4,5,2,3,6,7,5,3,7,2,5,5,6,6,6,5,6,7,6,6,4,5,6,5
114,0,5,3,3,3,3,6,6,6,5,5,5,5,5,6,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
116,0,6,1,3,4,6,7,6,5,6,5,5,3,4,6,6,7,7,7,6,5,6,6,5,7,5,6,7,6,6,5,7,7,5,5
117,0,5,4,1,6,5,6,7,7,7,5,7,6,6,4,4,6,5,7,7,5,6,6,3,6,7,7,3,5,5,7,3,6,5,7
118,0,5,2,3,6,5,6,5,5,6,5,6,5,6,5,6,7,6,7,7,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7
119,0,4,3,4,2,4,6,3,4,2,2,4,2,5,3,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
120,0,6,2,3,7,2,3,5,6,2,7,5,1,7,5,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
121,0,6,2,1,7,7,7,4,7,6,7,7,5,7,6,6,6,7,7,6,2,7,5,1,5,7,1,6,7,7,7,7,7,5,1
124,1,1,1,4,6,1,4,1,1,4,6,4,1,4,6,5,5,6,6,4,5,6,6,6,6,7,4,6,6,6,6,6,6,6,4
125,1,1,2,2,6,2,5,2,2,2,6,6,2,6,6,2,2,2,2,2,2,4,4,7,7,7,7,7,4,2,6,2,6,6,6
126,1,2,3,5,2,2,7,2,2,1,2,6,1,6,2,5,6,5,6,6,5,7,5,7,5,1,7,6,5,5,6,7,7,7,6
127,1,5,5,6,2,5,6,4,6,5,5,4,6,4,5,5,6,4,3,6,1,5,6,5,4,4,6,5,3,5,6,6,4,5,6
128,1,4,3,2,6,5,5,4,6,3,5,7,1,7,7,6,6,4,4,6,5,6,6,7,7,7,7,7,7,6, ,6,7,7,1
131,1,1,1,1,1,1,7,1,2,4,1,7,2,7,1,2,6,1,2,2,4,5,1,1,1,7,1,4,2,4,5,2,7,3,1
133,1,3,2,4,5,2,5,3,3,2,5,4,2,4,5,4,5,5,6,6,4,3,4,6,6,7,5,6,5,6,6,6,6,6,6
134,1,2,2,2,5,2,7,2,5,3,5,6,2,4,5,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5
135,1,3,7,7,1,1,6,2,1,4,1,6,3,6,1,5,6,6,6,5,3,4,4,7,2,7,7,6,6,6,5,6,6,2,6
