Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,SEXUALACTIVE,SEXPARTYEAR,Orientation,GenHealth1,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11_rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS25,CMVS24_rc,CMVS25_rc,CMVS26_rc,VIEWS_OPPOSITE,SOCIALITY,PARENTING,WEALTH_OLD,WEALTH_NEW,LOOKS_OLD,LOOKS_NEW,RELATIONSHIP_HISTORY_OLD,RELATIONSHIP_HISTORY_NEW,FEAR_FAILURE_OLD,FEAR_FAILURE_NEW,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6_rc,SOIR7,SOIR8,SOIR9,SOIBEHAVIOR,SOIATTITUDE,SOIDESIRE,SOITOTAL,SDQ1,SDQ2,SDQ3,SDQ4,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,BFFB1,BFFB2_rc,BFFB3,BFFB4,BFFB5,BFFB6_rc,BFFB7,BFFB8_rc,BFFB9_rc,BFFB10,BFFB11,BFFB12_rc,BFFB13,BFFB14,BFFB15,BFFB16,BFFB17,BFFB18_rc,BFFB19,BFFB20,BFFB21_rc,BFFB22,BFFB23_rc,BFFB24_rc,BFFB25,BFFB26,BFFB27_rc,BFFB28,BFFB29,BFFB30,BFFB31_rc,BFFB32,BFFB33,BFFB34_rc,BFFB35_rc,BFFB36,BFFB37_rc,BFFB38,BFFB39,BFFB40,BFFB41_rc,BFFB42,BFFB43_rc,BFFB44,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,IPC1,IPC2,IPC3,IPC4,IPC5,IPC6,IPC7,IPC8,IPC9,IPC10,IPC11,IPC12,IPC13,IPC14,IPC15,IPC16,IPC17,IPC18,IPC19,IPC20,MEANIPC
106,0,29,1, , ,4,1,1,4,11,1,5,1,15,2,5,1,30,14,.357142857142857,1,2,6,5,5,6,6,7,5,3,3,4,5,5,5,4,1,6,1,6,1,1,5,6,4,3,4,5,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,6,3,2,3,4.66666666666667,4.8, ,5.5,5.33333333333333,5.5,5,3,3.66666666666667,2.5,2.66666666666667,6,2,2,1,3,3,5,6,7, , , , ,6,5,5,7,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,2,2,3,3,4,2,4,3,2,5,5,2,3,3,3,4,3,2,4,3,3,4,3,2,3,4,1,3,3,4,4,4,4,4,3,3,4,4,4,4,2,3,1,4,3.375,3,2.88888888888889,2.5,3.5,5,5,6,5,5,4,6,7,6,6,3,4,3,4,4,5,4,4,6,4,4.8
123,1,24,3, , ,4,6,1,2,10,8,1,1,23,1,1,1,1,1,1,1,5,6,5,3,4,5,3,4,5,3,5,6,4,2,4,5,4,3,4,6,3,5,6,5,3,4,5,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,3,4,5,4,3.83333333333333,4.2,3.66666666666667,3.5,4,3,3,4.5,5,4.5,4.33333333333333,6,4,2,3,4,4,8,4,5, , , , ,5,4,3,3,.394169620347785,.538352118707369,.180102342514866,-1.01302065400516,4,4,3,4,3,4,3,2,3,4,4,2,3,2,3,4,3,4,3,4,4,3,3,2,3,3,3,4,2,2,3,4,3,2,3,3,3,4,3,2,3,4,3,2,3.625,3.22222222222222,3.22222222222222,2.125,2.9,6,4,3,5,5,4,3,3,6,5,5,5,4,5,5,1,2,4,6,4,4.25
132,1,24,1, , ,4,7,1,5,11,10,1,1,21,1,1,1,1,3,.333333333333333,1,5,7,7,5,4,5,5,4,4,4,4,5,4,5,5,6,5,6,4,5,4,5,5,4,4,6,5,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,5,3,3,5,5.33333333333333,3.8,4.33333333333333,5.5,5.33333333333333,5.5,5.33333333333333,4.5,4.66666666666667,3,3.66666666666667,8,6,6,7,5,5,8,7,6, , , , ,5,5,3,5,.394169620347785,1.42590561171141,.180102342514866,.504442937912773,3,5,2,2,2,4,2,4,3,2,2,3,4,3,3,4,3,3,3,4,3,5,4,3,4,4,4,4,3,2,2,3,3,3,3,3,3,4,2,3,3,2,3,3,3.125,3.33333333333333,3.44444444444444,2,2.9,5,5,4,5,5,4,6,7,1,1,6,7,5,7,6,7,4,5,4,5,4.95
161,1,29,2, , ,4,6,1,5,10,8,2,1,19,1,2,1,5,10,.2,1,5,6,5,7,6,5,6,6,6,5,7,6,5,6,7,6,5,7,6,7,6,6,4,5,6,7,6,3,1,2,3,2,1,2,2,1,1,6,3,2,2,1,2,3,1,2,2,3,2,1,1,6,7,6,2,2.4,2.33333333333333,1.5,2,1.5,1.66666666666667,2.5,2,6.5,6.33333333333333,7,5,6,6,7,1,7,6,7, , , , ,5,4,4,6,.394169620347785,.538352118707369,.964833977758214,1.26317473387174,5,3,4,4,5,3,5,2,2,5,4,1,3,4,4,5,4,3,4,4,1,4,1,3,4,3,2,4,5,5,2,4,5,2,3,4,1,4,4,3,2,4,1,4,3.375,3.11111111111111,3,2.5,3.9,7,5,6,7,6,5,6,7,5,6,6,5,7,6,6,5,4,6,5,7,5.85
181,1,27,2, , ,4,1,2, , , ,5,1,21,1,1,1,6,6,.166666666666667,1,4,6,5,4,5,5,6,4,5,6,4,7,5,5,6,5,5,6,4,5,5,6,5,5,4,4,6,3,4,4,3,4,3,4,2,2,4,5,4,3,2,2,3,2,1,4,3,2,2,2,2,5,6,5,3.5,3.4,3,2.5,2.33333333333333,2.5,2.66666666666667,2,2,5.5,5.33333333333333,6,7,7,7,6,4,7,6,6, , , , ,4,5,4,4,-.44201679969636,1.42590561171141,.964833977758214,-.254288858046192,3,2,3,4,4,3,4,3,2,3,3,3,4,3,4,3,4,3,4,3,2,3,3,2,3,3,2,4,3,4,3,3,3,2,3,3,2,3,3,4,3,3,3,4,2.875,2.88888888888889,3.22222222222222,2.25,3.5,4,5,4,5,5,4,5,5,5,6,5,6,4,5,6,5,6,5,5,6,5.05
200,1,31,2, , ,3,1,1,5,10,10,3,1, ,1,1,1,1, , ,1,5,6,5,6,5,7,6,5,6,5,7,6,7,7,5,6,5,7,6,6,7,6,7,5,6,6,7,2,3,2,1,2,2,1,2,2,3,6,3,2,3,2,1,2,2,2,2,3,2,3,1,7,7,6,2,2.8,2.66666666666667,1.5,1.66666666666667,2,2,2.5,2.66666666666667,7,6.66666666666667,8,7,8,8,8,1,8,7,9, , , , ,6,5,5,7,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,4,2,3,4,4,1,4,2,3,4,4,2,3,5,4,5,4,3,4,4,1,4,2,1,4,5,3,4,5,4,2,5,4,1,3,4,1,3,4,4,1,3,2,4,3.25,3.11111111111111,2.88888888888889,2.625,3.6,6,7,5,6,4,5,7,6,6,7,6,5,7,6,6,5,6,5,7,6,5.9
215,1,58,1, , ,3,2,2, , , ,10,1,17,1,10,0,0,41,.24390243902439,1,3,2,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,2,4,6,3,4.33333333333333,5.2,5,5,5,2.5,3,4,4,5,4.33333333333333,5,5,5,5,5,5,5,5,5, , , , ,3,3,3,4,-1.27820321974051,-.349201374296671,.180102342514866,-.254288858046192,4,4,4,2,4,4,4,4,2,4,4,4,4,2,2,3,3,4,2,2,4,3,2,2,2,3,4,2,2,3,3,3,3,3,3,4,4,3,2,3,3,3,4,2,3.625,3.55555555555556,3.33333333333333,1.625,2.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
217,1,28,3, , ,5,7,1,4,10,9,5,1,18,1,5,3,4,10,.5,1,4,7,6,7,6,6,7,6,7,6,5,6,5,6,6,7,5,6,7,6,6,7,6,7,6,6,7,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,2,6,6,6,2.16666666666667,3.2,1.33333333333333,2,1.66666666666667,2,2,1.5,1.66666666666667,6,6,8,6,7,8,5,2,8,6,7, , , , ,5,6,5,7,.394169620347785,2.31345910471545,1.74956561300156,2.0219065298307,5,2,4,5,5,2,4,1,2,4,5,1,4,5,4,5,5,2,4,5,2,4,1,2,5,5,2,4,5,5,2,4,5,1,2,4,1,5,4,4,2,5,2,5,3.75,3.11111111111111,3.11111111111111,2.625,4.1,7,6,7,6,6,6,7,6,6,7,6,6,7,5,6,5,7,6,6,6,6.2
224,1,43,2, , ,4,2,1,5,10,2, ,2, ,1,2,1,1, , ,1,4,5,4,4,4,4,5,4,4,3,4,5,5,5,4,5,4,4,5,4,4,4,4,3,4,3,4,4,5,6,6,6,5,5,6,6,3,4,4,4,3,4,5,4,3,4,3,3,3,3,4,4,4,5,5.33333333333333,4.8,3.66666666666667,4.5,4.33333333333333,3.5,3.33333333333333,3,3,4,4.33333333333333,8,7,8,7,6,4,6,7,6, , , , ,4,5,4,5,-.44201679969636,1.42590561171141,.964833977758214,.504442937912773,2,3,3,3,3,2,3,4,3,3,3,3,2,4,3,3,2,3,3,4,3,3,3,3,3,2,3,3,3,2,2,3,3,3,4,3,3,2,3,2,3,3,2,3,2.5,2.88888888888889,2.77777777777778,2.375,3,5,5,4,4,4,5,4,4,3,4,5,5,5,4,5,4,5,5,4,5,4.45
236,1,27,2,3, ,4,3,1,2,7,8, ,1,27,1,1,1,3,0, ,1,4,5,2,6,5,3,4,5,5,2,6,5,6,6,7,6,4,6,4,3,5,5,3,6,5,3,6,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,7,4,1,3,5.5,4.8,5,3.5,4.33333333333333,5,4.33333333333333,5,4.66666666666667,2.5,2.66666666666667,5,7,5,7,5,2,6,3,6, , , , ,4,2,4,5,-.44201679969636,-1.23675486730071,.964833977758214,.504442937912773,4,3,3,4,4,3,5,2,3,3,3,2,3,3,4,3,3,4,5,5,3,3,2,4,3,3,1,3,2,2,2,4,3,2,3,4,2,3,5,2,3,3,2,3,3.125,2.88888888888889,2.77777777777778,2.75,3.2,4,4,4,4,4,4,4,6,4,5,6,6,4,6,4,5,4,5,4,4,4.55
