ParticipantID,ParticipantSex,ParticipantAge,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
53,1,40,15,1,18,23,1,9,3,7,5,1,1,7,1,2,2,1,5,1,5,3,2,3,7,9,9,9,7,5,5,6,6,7,5,7,4,7,7,4,7,7,2,7,7,7,6,3,5,4,4
54,1,51,7,1,16,7,1,0,5,7,7,7,1,5,1,7,1,7,7,1,7,7,2,2,5,9,9,9,8,6,6,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1
55,1,40,7,1,25,4,0,0,4,4,7,7,1,6,1,2,2,7,7,1,7,4,1,1,1,9,1,1,7,6,3,5,6,4,7,6,6,7,7,4,7,5,7,7,7,7,6,5,6,2,4
56,1,34,10,1,17,18,1,2,2,6,6,2,3,5,4,4,1,2,6,1,4,6,2,6,6,3,2,6, , , ,5,5,4,3,5,5,5,1,4,6,4,4,7,6,5,6,5,5,5,7
57,1,22,9,1,14,4,0,0,2,7,5,5,5,6,2,2,6,5,5,2,6,3,1,3,3,9,2,6,7,6,4,5,6,6,6,5,3,5,3,4,4,7,6,3,5,3,3,3,3,2,1
58,1,45,20,1,12,25,1,12,2,5,5,6,1,6,1,5,1,7,7,1,7,5,2,6,6,7,3,3,6,5,7,6,5,3,5,6,5,2,1,3,5,7,6,4,3,3,5,5,5,2,1
59,1,54,12,1,15,45,2,0,5,3,6,1,5,6,5,6,5,1,5,4,5,3,3,8,9,8,8,9,6,2,3,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1
60,1,66,6,1,24,13,1,5,2,3,4,4,3,6,4,5,3,4,6,2,5,4,2,7,8,7,9,8,9,7,9,5,3,1,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2
61,1,76,45,1,18,25,0,0,5,5,4,1,6,4,5,5,5,1,4,5,4,1,1,8,8,8,8,8,6,5,6,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4
62,1,59,9,1,16,14,1,0,2,5,5,1,1,5,2,4,5,2,5,5,5,2,2,5,5,7,6,8,4,3,4,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4
63,1,35,10,1,15,12,1,8,1,6,7,5,1,5,1,6,2,5,5,2,5,2,2,3,5,8,8,8,4,2,2,5,5,5,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1
64,1,46,7,1,20,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
65,1,48,3,1,20,3,1,0,1,1,2,7,1,7,1,5,3,7,4,1,4,5,2,1,1,8,1,1,7,2,4,5,7,5,7,7,6,6,2,4,6,7,7,1,1,1,1,1,1,1,1
66,1,36,5,1,23,2,0,0,1,6,5,5,1,4,1,2,1,5,4,1,3,3,1,2,2,6,4,5,7,6,3,3,5,3,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4
67,1,37,2,1,21,2,2,10,6,2,4,6,7,5,6,7,6,6,7,3,6,7,5,7,7,3,8,4, ,5,6,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6
68,1,28,6,1,18,4,1,1,7,4,5,5,2,4,2,6,2,6,7,2,7,7,2,2,2,8,6,8,9,9,9,4,6,3,6,6,5,1,1,7,5,7,6,2,1,1,6,6,4,3,5
69,1,53,1,1,19,1,1,5,1,4,5,2,1,1,1,1,1,1,4,1,4,1,2,2,2,1,1,1,6,6,6,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
72,1,29,2,1,28,1,1,1,6,5,6,7,5,6,7,5,6,7,5,6,5,6,7,8,7,8,7,2,8,9,7,6,5,6,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7
73,1,35,6,1,16,12,1,2,2,6,6,7,1,6,7,5,2,7,5,1,6,7,2,2,3,1,2,5,5,3,2,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
74,1,69,5,1,18,3,1,2,1,5,5,1,1,5,1,5,1,1,7,2,7,5,2,3,2,3,3,3,1,1,2,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
75,1,30,20,1,16,20,1,15,1,1,1,1,1,5,1,1,1,1,6,1,7,1,2,4,7,6,1,4,5,3,6,7,7,6,7,6,3,5,3,7,7,7,6,6,4,4,2,3,2,1,1
76,1,30,5,1,16,16,1,10,2,2,6,6,2,6,2,6,5,6,7,4,6,6,2,5,6,9,9,9,8,7,6,6,6,7,7,7,2,7,7,4,7,5,1,7,7,7,7,7,7,6,5
77,1,25,4,1,19,2,1,2,6,4,3,6,5,6,5,4,6,3,4,5,5,2,2,2,2,7,6,5,7,6,7,5,4,3,5,6,5,4,3,5,6,5,3,3,5,6,6,4,5,3,5
78,1,34,2,1,21,2,0,0,3,3,5,6,2,3,3,3,2,5,4,2,4,2,1,1,1,8,8,8,4,4,2,5,5,3,5,6,5,6,4,4,4,4,2,3,2,2,3,2,2,1,1
79,1,27,4,1,18,10,2,15,6,4,7,7,1,7,1,6,7,7,7,4,7,7,3,1,6,7,8,9,4,4,3,7,7,6,7,5,4,7,1,4,7,1,4,7,7,7,7,7,7,4,1
80,1,63,10,1,19,15,1,12,2,2,6,4,2,6,2,5,6,6,7,2,7,7,2,4,6,1,1,5,4,5,3,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
81,1,33,3,1,17,3,1,4,4,5,3,3,2,2,4,4,2,1,4,5,5,3,2,1,1,8,6,7,4,5,7,4,3,2,4,6,5,4,3,2,4,4,3,5,4,3,1,3,4,5,3
82,1,38,5,1,32,1,1,5,3,4,5,4,2,6,4,4,5,4,4,5,4,3,2,2,2,4,5,5,1,6,2,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,1,38,5,1,21,5,1,1,3,3,5,5,3,5,3,5,5,5,5,5,5,5,2,3,3,6,6,6,2,2,2,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
84,1,36,4,1,21,4,1,20,1,7,7,1,1,7,1,1,1,1,7,1,7,1,2,1,1,7,7,9,5,1,5,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
86,1,51,15,1,15,20,1,6,2,5,5,5,2,7,2,3,3,5,6,3,6,5,2,6,6,7,5,5,6,6,6,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
87,1,45,16,1,17,16,1,0,1,7,7,3,1,5,1,4,1,2,7,1,6,1,2,6,8,8,7,8,6,2,2,6,6,7,7,7,5,4,4,4,7,7,5,4,4,4,6,6,7,6,4
88,1,27,2,1,16,1,2,1,4,6,3,5,5,3,3,6,3,6,3,5,3,6,3,7,5,4,7,6,5,8,5,3,7,3,6,3,6,5,2,6,4,3,6,4,1,6,3,3,6,2,5
89,1,36,10,1,15,50,3,20,1,7,7,5,1,6,1,1,4,5,7,1,7,5,4,7,9,9,9,9,3,3,1,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
90,1,61,1,1,23,1,1,0,4,4,6,6,1,3,1,4,1,4,5,1,4,3,2,1,1,3,1,1,2,2,2,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
91,1,26,3,1,18,5,1,4,5,7,6,7,7,6,6,5,4,7,6,6,7,7,2,2,3,8,8,8,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
92,1,34,5,1,16,20,0,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4,3,6,8,9,9,9,7,5,7,2,6,6,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1
93,1,31,1,1,21,1,1,6,1,4,5,2,1,6,1,1,1,1,7,1,7,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1,32,3,1,18,3,1,5,2,1,2,2,1,3,2,2,1,2,2,1,1,3,2,4,3,5,7,5,3,2,2,5,4,4,6,6,4,6,5,4,5,5,4,4,5,3,3,4,6,5,1
