Participant_ID,Participant_Sex,Participant_Age,Participant_LTR,Partner_Number,Had_Sex,Age_Sex,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14
244,1,30, ,1,1,21,1,1,8,1,2,1,2,1,1,1,1,1,1,3,1,1,1
21,0,30,1,5,1,14,25,1,7,4,4,4,4,4,6,4,4,4,4,5,4,6,5
24,0,30,1,1,2, ,0,0,0,1,1,1,1,1,1,1,6,6,6,6,6,7,5
25,0,25,1,2,1,25,2,2,3,6,5,3,6,6,7,6,7,6,5,6,5,6,6
26,0,29,1,3,1,19,3,2,6,6,6,4,6,6,6,2,7,4,7,7,1,7,6
27,0,24,1,6,1,18,8,3,12,5,6,7,6,2,7,2,6,5,6,7,5,6,5
28,0,33,1,2,1,18,2,1,1,6,6,7,7,5,6,5,6,5,7,6,4,6,7
29,0,35,1,3,1,15,3,1,6,1,7,7,1,1,7,1,7,1,1,7,1,7,1
33,0,27,1,1,1,22,1,1,3,5,6,3,5,5,4,5,5,5,3,6,5,5,4
34,0,32,1,5,1,27,1,1,8,1,2,6,2,2,6,2,2,2,3,5,2,7,2
35,0,42,1,1,1,30,1,1,0,4,5,1,1,4,4,4,5,1,1,7,1,7,1
36,0,49,1,10,1,16,20,1,2,6,5,4,5,5,5,5,6,5,5,5,4,6,6
37,0,34,1,10,1,17,15,1,8,7,7,6,7,4,7,4,7,6,7,7,4,5,6
38,0,28,1,3,1,17,4,1,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6
40,0,31,1,1,1,27,1,1,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2
41,0,33,1,3,1,21,3,1,25,2,2,6,5,6,7,2,2,7,6,6,2,1,6
43,0,29,1,1,1,25,1,1,2,7,7,4,1,1,4,1,1,1,5,7,1,7,7
44,0,29,1,5,1,18,4,2,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6
46,0,45,1,1,1,24,1,1,8,1,1,1,1,1,1,1,1,1,1,6,1,6,2
47,0,32,1,3,1,21,1,1,7,1,1,5,7,5,5,2,6,5,5,4,2,5,6
49,0,36,1,30,1,18,5,5,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7
50,0,23,1,3,1,17,2,1,14,5,6,3,5,5,3,5,5,5,5,4,4,5,5
52,0,32,1,7,1,17,12,1,15,5,6,6,5,3,6,4,2,4,6,6,4,6,4
53,0,40,1,15,1,18,23,1,9,3,7,5,1,1,7,1,2,2,1,5,1,5,3
54,0,51,1,7,1,16,7,1,0,5,7,7,7,1,5,1,7,1,7,7,1,7,7
56,0,34,1,10,1,17,18,1,2,2,6,6,2,3,5,4,4,1,2,6,1,4,6
58,0,45,1,20,1,12,25,1,12,2,5,5,6,1,6,1,5,1,7,7,1,7,5
