Participant_ID,SEX,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Primarily_Attracted,Participant_Lifetime_Sex_Partners,Past_Year_Sex_Partners,Past_Month_Sex,Orientation,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11_rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS25,CMVS24_rc,CMVS25_rc,CMVS26_rc
109,0,25,1, , ,4,5,1,5,10,1,4,1,19,2,2,1,5,1,4,3,3,4,7,3,7,7,7,4,7,5,3,1,7,7,7,7,3,3,4,3,7,2,6,1,2,1
111,0,25,3, , ,4,2,1,5,10,1,2,1,19,2,2,2,3,1,4,2,2,3,3,2,4,3,3,3,3,5,1,1,2,2,2,3,3,2,2,2,4,4,3,5,5,4
112,0,49,1, , ,2,3,2, , , ,6,1,21,2,6,1,0,1,4,2,2,2,2,2,2,5,5,4,3,3,1,1,2,5,6,6,1,1,3,2,5,2,3,1,5,1
113,0,28,3, , ,5,5,1,5,10,2,2,1,27,2,2,1,1,1,4,2,2,3,1,2,3,2,1,2,2,5,4,2,1,2,2,3,2,2,4,3,2,1,3,6,5,6
114,0,36,8, , ,4,4,1,5,9,1,8,1,12,2,6,1,6,1,2,3,2,3,4,3,3,5,6,6,5,5,3,2,3,2,2,3,1,3,3,3,2,5,1,2,7,5
116,0,30,3, , ,5,7,1,4,10,2,2,1,20,2,2,2,5,1,5,4,1,5,6,4,3,3,1,2,2,4,1,1,1,2,3,3,2,2,1,2,3,1,2,5,6,5
117,0,28,6, , ,4,5,1,4,7,6, ,1,13,2,4,1,4,1,3,2,1,5,1,1,6,3,3,2,4,4,2,3,3,4,1,4,3,2,7,2,3,2,4,2,4,5
118,0,30,3, , ,4,2,1,3,9,9,2,2, ,2,2,1,5,1,4,2,3,2,3,2,2,3,2,3,2,5,2,3,2,3,2,3,2,2,3,2,3,2,2,5,6,5
119,0,38,1, , ,4,7,2, , , ,10,1,15,2,15,2,6,1,4,3,3,3,4,2,6,4,5,4,3,2,6,4,6,6,6,7,4,3,4,4,3,2,4,1,4,1
120,0,57,1, , ,4,6,1,5,7,1,6,1,18,2,10,0,0,1,2,3,3,4,6,4,3,3,3,4,4,2,7,6,7,7,6,7,2,2,6,4,7,5,2,2,6,6
121,0,26,1, , ,4,5,2, , , ,12,1,15,2,13,1,0,1,4,2,2,6,3,2,3,6,5,6,6,5,2,3,3,3,1,3,1,1,1,1,3,4,1,1,7,5
124,1,42,1, , ,5,7,1,5,8,1,5,1,17,1,8,1,1,1,3,3,4,4,4,4,3,2,2,4,3,2,3,3,4,6,6,6,3,3,4,3,4,1,7,1,1,1
125,1,40,1, , ,4,6,1,5,10,1,3,1,17,1,2,1,6,1,3,5,5,5,4,5,5,5,5,5,5,5,6,6,5,2,2,2,6,5,5,5,3,5,2,5,6,6
126,1,44,2, , ,5,6,1,5,7,2,3,1,20,1,2,1,8,1,2,2,1,2,3,2,7,1,1,3,1,3,2,2,2,6,6,6,2,3,2,2,2,1,5,2,3,3
127,1,25,2, , ,4,5,1,3,10,1,3,2, ,1,1,1,0,1,4,1,3,2,3,3,2,2,3,2,2,4,3,2,3,1,2,4,3,4,3,3,4,2,3,6,5,5
128,1,25,1, , ,4,5,1,5,8,1,5,1,14,1,5,1,0,1,2,6,6,6,5,5,5,6,5,6,6,6,7,4,5,2,1,1,4,5,5,4,3,6,2,6,6,6
131,1,29,3,8, ,5,5,2, , , ,1,1,20,1,11,1,0,1,5,7,7,7,4,4,7,7,7,7,7,7,1,3,3,7,7,7,1,1,7,7,7,7,1,7,7,1
133,1,33,1, , ,3,4,1,5,10,1,8,1,16,1,7,1,3,1,2,4,4,3,1,4,2,4,4,3,3,3,1,3,4,6,5,7,4,4,5,4,6,4,5,2,3,3
134,1,39,8, , ,4,6,1,4,10,1,5,1,18,1,5,1,6,1,4,3,2,4,5,2,3,3,2,5,3,3,2,1,2,6,6,7,3,3,5,3,5,3,5,2,3,2
135,1,43,1, , ,3,8,1,5,4,1,4,1,15,1,4,1,8,1,2,6,6,5,6,6,7,6,5,4,5,7,7,7,5,6,1,1,7,7,5,5,7,7,4,7,4,5
136,1,28,1, , ,5,8,1,5,11,1,1,1,16,1,1,1,3,1,3,3,3,4,6,4,7,7,7,7,7,5,1,1,4,6,7,7,4,4,3,2,7,4,7,1,1,1
137,1,39,1, , ,3,5,1,5,8,2,11,1,14,1,5,1,8,1,3,2,2,2,2,2,4,2,2,2,2,2,2,7,7,3,5,4,6,6,6,6,6,5,5,3,3,5
138,1,27,1, , ,2,6,1,5,10,1,10,1,17,1,10,1,10,1,2,2,4,4,4,4,2,6,7,7,6,7,1,1,1,6,7,7,2,2,6,4,6,3,6,4,2,6
139,1,50,1, , ,4,3,1,5,7,1,2,1,19,1,2,1,4,1,3,3,3,5,7,4,7,7,7,7,7,7,4,4,3,7,3,7,3,6,6,7,7,5,6,1,2,6
141,1,27,1, , ,5,7,1,5,11,1,100,1,21,1,1,1,10,1,5,1,2,3,4,4,4,5,5,4,2,6,3,3,3,2,3,3,3,3,3,2,3,2,3,5,5,6
142,1,52,1, , ,3,8,1,5,8,1,10,1,14,1,68,1,6,1,3,6,6,6,6,6,1,4,3,4,5,7,4,2,4,5,6,6,1,1,7,4,7,7,1,1,7,4
143,1,27,1, , ,4,5,1,4,10,2,2,1,22,1,2,1,9,1,4,3,3,2,3,2,4,3,4,4,4,4,3,3,3,5,5,5,5,4,3,3,3,3,4,4,4,4
144,1,32,8, , ,3,3,1,5,11,1,5,1,17,1,5,1,30,1,3,1,3,3,2,3,2,1,1,2,1,1,1,1,1,7,7,7,2,2,1,1,1,2,7,1,1,1
146,1,57,1, , ,5,4,1,5,11,1,7,1,18,1,6,1,0,1,4,4,4,5,7,7,4,5,5,4,5,1,1,1,7,7,7,7,7,7,7,4,7,3,7,1,1,1
147,1,42,1, , ,2,3,1,5,9,1,8,1,14,1,20,4,4,1,3,2,2,2,1,2,1,2,2,2,2,3,2,2,2,5,7,7,1,1,2,2,1,2,4,1,4,2
148,1,63,1, , ,4,8,1,5,10,1,5,1,20,1,1,1,2,1,4,3,3,3,7,4,6,5,3,4,3,2,1,1,4,6,6,7,3,4,4,4,7,2,7,1,1,4
149,1,38,1, , ,3,4,1,5,11,1,5,1,14,1,20,1,4,1,2,2,1,1,1,1,2,1,1,1,1,1,7,5,4,2,1,1,3,2,1,2,1,1,4,2,4,4
150,1,33,1, , ,5,2,1,5,8,1,3,1,19,1,5,1,0,1,5,4,2,2,3,2,2,5,5,5,4,3,6,6,7,7,7,7,3,3,2,2,5,2,6,2,2,2
151,1,33,1, , ,3,8,1,5,10,1,15,1,16,1,15,1,1,1,5,7,7,7,4,4,2,2,1,1,1,7,7,4,7,1,1,1,7,7,2,7,7,7,1,7,7,7
152,1,36,1, , ,4,8,1,4,11,1,2,1,18,1,2,1,1,1,4,4,4,4,4,4,3,3,3,3,2,6,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,2
153,1,36,1, , ,4,8,1,5,10,1,3,1,22,1,1,1,5,1,4,2,2,3,6,2,6,4,4,4,4,3,1,2,4,5,6,5,2,3,3,4,5,2,6,2,2,2
154,1,29,3, , ,4,1,1,5,11,1,1,1,19,1,1,1,20,1,4,7,7,7,7,7,7,7,7,7,7,2,6,7,7,6,6,6,6,6,6,7,6,6,7,2,1,2
155,1,33,1, , ,4,3,1,5,10,1,10,1,16,1,7,1,2,1,4,6,6,6,6,6,7,5,3,2,2,2,6,6,7,1,1,4,7,7,5,7,7,7,7,6,1,2
156,1,44,1, , ,5,2,2, , , ,6,1,20,1,3,1,0,1,3,2,2,2,3,2,6,3,2,3,2,5,1,1,1,6,5,6,2,2,3,1,3,2,6,2,2,2
157,1,42,1, , ,3,7,2, , , ,6,1,14,1,6,0,0,1,1,4,4,5,7,4,7,6,7,7,6,5,7,6,7,7,7,7,2,2,6,4,4,5,5,6,3,3
158,1,59,1, , ,4,8,1,5,10,1,5,1,15,1,30,1,4,1,4,2,2,3,6,4,4,3,3,3,4,2,6,3,3,6,7,7,3,3,4,3,6,3,7,1,1,1
159,1,35,1, , ,3,6,1,5,6,1,7,1,18,1,7,1,2,1,2,4,4,5,5,5,5,5,6,6,5,5,6,6,6,6,5,5,2,2,6,3,6,6,2,2,6,2
160,1,65,1, , ,4,5,1,5,8,1,3,1,17,1,1,1,1,1,4,5,5,5,5,5,5,1,1,2,3,2,4,4,4,4, ,7,2,3,5,5,5,5,5,3,3,3
162,1,40,1, , ,5,6,2, , , ,20,1,15,1,20,1,0,1,2,7,7,7,7,7,7,7,7,7,7,7,2,1,2,6,7,7,1,1,7,7,7,6,1,6,7,5
163,1,31,1, , ,4,6,1,5,8,1,1,1,17,1,1,1,0,1,2,3,4,5,6,4,5,7,7,7,6,6,1,2,3,7,7,7,2,3,6,4,7,3,3,1,5,5
164,1,55,1, , ,3,6,2, , , ,5,1,13,1, ,0,0,1,5,6,5,5,5,5,3,6,6,6,6,5,4,2,6,6,6,6,6,2,6,6,6,5,6,2,2,2
165,1,56,1, , ,2,6,1,5,9,1,10,1,17,1,10,1,2,1,4,5,4,3,4,3,2,3,5,4,3,6,4,5,5,2,2,2,5,5,5,5,5,3,4,3,4,5
166,1,62,1, , ,5,8,2, , , ,35,1,18,1,25,0,0,1,3,2,2,2,2,2,6,4,4,4,3,2,2,1,4,6,6,6,2,2,2,2,4,5,6,2,2,2
167,1,29,3, , ,4,5,1,5,11,1,1,1,25,1,1,1,12,1,4,1,2,3,5,3,6,2,2,4,2,2,1,2,2,6,5,7,3,5,2,2,4,2,4,2,4,3
168,1,32,1, , ,5,7,1,5,11,1,3,1,18,1,3,1,6,1,4,2,2,2,2,2,2,2,2,2,2,6,2,2,2,5,2,4,2,2,2,2,2,2,4,3,4,3
169,1,26,2, , ,5,2,1,5,11,1,6,1,15,1,2,1,4,1,5,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,1,1,1,7,7,7,7,7,7,1,1,1
170,1,53,1,8, ,4,5,1,5,9,1,3,1,23,1,2,1,0,1,4,4,4,4,7,4,6,6,4,6,4,5,1,1,7,7,7,7,4,4,4,4,7,5,6,5,2,2
171,1,39,1, , ,5,3,1,5,9,2,30,1,17,1,20,1,10,1,4,2,2,2,2,2,1,3,3,4,3,7,1,1,3,5,5,6,1,1,2,2,2,1,3,1,5,3
172,1,27,1, , ,4,3,1,5,10,1,1,1,20,1,1,1,4,1,3,5,6,6,6,4,3,6,7,6,6,5,2,3,5,7,7,5,3,3,5,4,6,5,7,2,1,1
173,1,59,1, , ,3,4,1,5,9,2,5,1,16,1,4,1,1,1,4,3,5,5,6,6,7,3,2,5,5,3,1,2,2,6,6,6,4,4,7,4,7,5,6,3,2,2
174,1,21,1, , ,2,1,1,4,9,3,12,1,14,3,5,2,3,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , 
175,1,49,1,2,6,4,5,1,2,10,1,14,1,14,1,33,1,0,1,4,2,2,2,2,2,3,4,2,1,1,2,2,2,2,3,4,4,1,1,1,2,1,5,4,3,4,3
176,1,27,6, , ,4,4,1,5,7,3,7,1,17,1,10,1,2,1,3,4,3,4,3,3,3,6,5,6,6,6,2,2,2,6,6,6,2,3,3,3,3,2,6,2,2,3
177,1,66,1, , ,3,8,1,5,11,1,3,1,16,1,1,1,4,1,5,2,2,2,3,3,3,2,2,3,3,2,1,1,4,7,7,7,2,2,4,4,6,2,7,1,1,1
178,1,41,1, , ,2,6,1,5,10,1,5,1,19,1,1,1,4,1,3,3,2,3,3,2,4,3,6,6,3,2,1,1,6,7,7,7,2,2,4,2,6,3,3,1,5,3
179,1,33,1, , ,4,6,1,5,7,1,13,1,15,1,10,1,8,1,2,3,5,5,6,6,7,3,5,6,7,3,1,2,2,7,7,7,1,1,7,3,7,3,2,1,6,1
180,1,55,1, , ,2,8,1,5,10,1,4,1,15,1,4,1,4,1,5,2,2,2,4,2,4,4,2,4,4,2,6,6,4,1,1,1,6,2,4,2,4,3,6,2,2,2
184,1,30,1,6, ,3,6,1,5,9,1,7,1,17,1,25,1,3,1,3,4,5,5,2,4,1,1,1,1,1,3,7,7,3,1,1,1,5,5,1,5,2,6,4,6,4,6
185,1,31,3, , ,5,1,1,2,5,4,2,2, ,1,1,1,1,1,4,2,2,3,6,2,3,4,5,6,3,3,3,2,2,2,3,4,3,2,2,3,2,3,2,2,6,6
186,1,60,1,6, ,3,2,2, , , ,20,1,18,1,15,0,0,1,2,2,2,2,2,2,2,3,3,2,2,2,1,2,2, ,7,7,2,2,2,2,6,1,6, ,2,2
187,1,32,3, , ,4,3,1,5,8,1,3,1,21,1,1,1,4,1,4,4,4,5,5,6,4,4,4,4,4,6,7,4,5,5,4,4,5,4,4,5,4,4,5,3,3,3
188,1,70,1, , ,2,3,1,5,11,1,1,1,19,1,2,1,2,1,3,2,1,1,1,1,1,3,3,4,3,6,5,3,3,7,7,7,5,5,6,6,7,3,7,3,1,1
189,1,29,1, , ,4,4,1,5,10,2,5,1,16,1,3,1,2,1,4,2,2,3,5,2,5,6,6,4,3,3,1,2,2,3,6,3,2,2,2,3,2,2,6,2,2,3
190,1,46,6, , ,4,6,1,5,10,1,2,1,22,1,3,1,6,1,4,2,2,2,3,3,3,2,2,3,2,2,2,1,3,5,6,6,3,2,2,3,3,4,5,3,3,3
191,1,37,6, , ,4,6,1,5,10,1,6,1,20,1,6,1,20,1,3,4,4,4,1,4,2,1,1,1,1,2,7,7,1,1,1,1,5,5,1,5,1,6,1,7,7,7
192,1,41,1, , ,4,9,1,5,10,1,4,1,21,1,2,1,0,1,3,3,4,4,4,4,6,3,4,4,5,5,2,2,2,4,4,4,3,3,4,3,5,3,4,3,4,4
193,1,46,1, , ,3,7,1,5,11,1,10,1,18,1,5,1,15,1,5,2,3,7,7,6,7,4,5,3,4,3,1,1,1,5,5,5,1,1,2,2,2,3,6,2,2,3
194,1,56,1, , ,3,3,2, , , ,20,1,15,1,25,0,0,1,3,3,5,5,5,4,4,4,5,4,3,5,1,1,4,5,5,5,2,3,4,3,6,2,6,2,2,2
195,1,25,1,2, ,4,7,2, , , ,1,1,24,1,4,1,0,1,3,5,4,4,3,4,5,7,7,7,7,7,7,7,7,4,7,7,1,1,5,4,5,7,1,7,7,7
196,1,49,1, , ,3,2,2, , , ,6,1,15,1,12,2,1,1,3,3,3,4,3,3,3,3,6,5,4,3,4,4,4,4,6,6,3,3,4,4,4,3,7,1,1,1
198,1,34,1, , , ,7,1,1,9,3,5,1,17,1,32,3,1,1,3,4,3,4,2,2,3,3,3,4,3,2,5,3,4,5,3,2,2,2,4,3,4,6,3,2,5,1
199,1,60,1, , ,4,3,1,5,8,1,5,1,15,1,6,1,0,1,1,5,7,7,7,7,7,6,7,7,7,7,1,4,7,7,7,7,2,2,7,7,7,7,7,5,1,1
201,1,35,1, , ,2,8,1,5,10,1,20,1,17,1,40,1,1,1,4,3,4,3,2,3,5,2,3,3,3,4,6,6,5,2,2,2,1,1,3,4,1,5,1,7,7,7
202,1,50,1, , ,3,7,1,5,10,1,4,1,21,1,9,1,12,1,4,6,6,6,1,6,6,2,4,4,4,5,7,7,6,1,1,1,6,6,5,6,2,5,1,7,7,7
203,1,48,1, , ,2,6,1,5,11,1,5,1,18,1,5,1,5,1,2,2,5,5,5,4,7,1,1,3,3,2,1,1,2,7,7,7,1,2,5,2,6,1,7,1,1,3
204,1,42,6, , ,3,6,1,5,9,1,4,1,21,1,4,1,30,1,4,1,1,1,3,3,7,7,7,7,5,3,3,1,7,7,7,7,3,3,3,1,3,3,7,1,1,1
205,1,48,1, , ,5,6,1,5,10,1,5,1,16,1,21,1,1,1,2,4,4,5,5,3,5,6,6,6,5,2,6,3,6,7,7,7,2,3,5,3,6,3,5,2,3,4
206,1,48,8, , ,4,4,1,4,9,1,5,1,28,1,5,1,4,1,4,3,3,5,6,3,7,6,6,7,5,2,2,1,1,6,7,7,3,3,6,2,7,5,7,1,1,2
207,1,41,1, , ,5,6,2, , , ,6,1,15,1,65,1,0,1,4,3,2,2,1,3,1,7,7,7,7,6,7,7,7,7,7,7,2,1,3,4,5,2,7,1,1,1
208,1,60,1,7, ,3,6,1,5,10,1,50,1,15,1,80,1,10,1,4,2,2,2,2,2,3,4,4,4,3,2,2,2,6,6,6,6,3,4,3,2,2,2,6,2,2,2
209,1,31,1, , ,4,8,1,5,10,1,3,1,17,1,10,1,5,1,4,2,2,2,4,2,2,6,6,6,4,3,1,1,2,6,6,6,2,1,1,1,4,1,6,6,2,6
210,1,38,1, , ,5,8,1,4,10,1,6,1,17,1,6,1,13,1,3,3,6,6,7,6,7,3,3,5,6,6,1,1,1,5,6,3,3,3,6,3,7,6,7,5,1,5
211,1,32,3, , ,4,1,1,5,10,1,1,1,23,1,1,1,1,1,3,4,4,3,6,4,7,4,3,4,4,5,1,1,1,6,6,6,3,4,5,4,7,4,7,1,1,4
212,1,48,1, , ,5,2,1,5,8,1,8,1,16,1,20,1,0,1,2,6,5,6,7,5,6,6,5,6,6,4,3,2,2,6,6,7,3,3,7,4,7,6,5,1,3,1
213,1,45,1, , ,5,4,2, , , ,3,1,24,1,17,1,4,1,3,7,7,7,7,7,3,5,5,5,4,4,7,4,7,7,7,7,1,1,7,7,7,7,1,1,7,2
214,1,39,1, , ,5,3,1,5,9,1,30,1,17,1,30,1,20,1,4,3,3,3,3,3,1,3,3,3,3,1,1,1,3,5,6,6,2,1,5,2,5,2,5,3,3,3
216,1,32,1, , ,4,5,1,4,10,1,2,1,23,1,5,1,2,1,3,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,2,2,2,1,2,3,6,2,2,2
218,1,19,6, , ,2,4,2, , , ,0,2, ,1,0,0,0,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
219,1,56,1, , ,2,6,1,5,9,1,18,1,16,1,8,1,0,1,3,2,2,2,3,2,4,5,6,6,7,6,2,1,7,7,7,7,3,2,2,3,6,2,7,1,1,1
220,1,52,1, , ,4,2,1,5,10,1,6,1,17,1, ,1,0,1,3,2,4,4,6,6,6,1,1,2,4,4,1,1,1,7,7,7,2,2,7,4,7,2,7,1,1,1
221,1,39,1, , ,4,5,1,5,11,1,3,1,17,1,3,1,20,1,5,2,1,2,5,2,5,6,3,4,5,5,2,1,2,5,6,5,1,2,3,3,5,4,5,2,3,3
222,1,26,1, , ,4,9,1,5,10,1,4,1,16,1,4,1,1,1,4,2,1,2,3,2,3,2,2,3,2,2,3,3,3,2,3,2,1,1,2,2,1,2,7,2,1,3
223,1,26,1, , ,5,6,1,5,11,1,3,1,21,1,4,1,10,1,5,5,7,6,7,5,5,6,6,7,6,3,5,6,4,4,5,6,5,5,4,4,5,5,3,4,5,5
225,1,45,1, , ,3,4,1,5,11,1,4,1,15,1,4,1,6,1,4,2,2,2,2,2,2,5,5,6,5,3,6,2,2,3,4,3,4,3,3,4,3,4,3,3,5,4
226,1,32,1, , ,4,4,1,5,7,2,6,1,19,1,6,1,1,1,3,1,7,6,6,6,4,7,7,7,7,6,1,1,2,7,6,6,2,2,6,4,7,5,3,4,5,3
227,1,47,1, , ,4,4,1,4,8,5,6,1,17,1,20,1,5,1,4,4,4,4,5,4,2,5,5,4,4,5,6,7,6,2,3,4,7,6,5,4,3,3,4,3,4,5
228,1,33,1, , ,3,6,1,5,9,1,5,1,19,1,5,1,11,1,3,3,6,5,5,3,3,3,2,2,4,3,7,7,7,7,4,3,5,2,4,3,2,3,3,6,5,6
229,1,30,1,6, ,3,6,1,5,8,1,10,1,17,1,25,2,10,1,3,3,4,4,6,4,6,6,6,6,6,5,4,2,3,6,6,6,3,3,6,5,6,5,6,2,2,2
230,1,34,1, , ,4,6,1,5,9,1,3,1,23,1,2,1,2,1,3,5,5,5,5,5,6,5,5,5,6,5,1,2,2,6,6,6,3,5,3,5,5,5,5,3,3,3
231,1,57,1, , ,3,4,1,5,11,1,8,1,15,1,7,1,10,1,4,2,3,3,3,3,4,2,2,2,2,1,4,1,2,7,6,6,1,1,3,1,4,1,4,1,4,3
232,1,27,1, , ,4,4,1,5,9, ,2,1,17,1,2,1,5,1,3,2,4,4,6,2,6,6,6,6,6,6,2,2,2,6,6,6,6,3,3,4,4,3,6,2,2,2
233,1,34,1, , ,4,8,1,5,11,1,7,1,23,1,7,1,4,1,5,4,4,4,4,3,5,3,3,4,3,2,1,1,2,5,6,4,3,4,5,3,6,3,5,2,3,4
234,1,25,1, , ,4,4,2, , , ,1,1,20,1,1,0,0,1,3,6,7,7,7,5,6,5,5,6,7,6,1,2,5,7,6,6,2,3,7,5,7,7,3,5,5,2
235,1,29,1, , ,4,2,1,4,10,1,6,1,17,1,10,1,5,1,3,5,5,5,6,5,6,6,6,6,5,5,7,3,7,5,5,5,3,3,6,3,5,3,6,3,2,3
237,1,28,1, , ,5,7,1,5,9,1,3,1,15,1,3,1,6,1,4,2,2,3,5,3,4,4,4,4,3,3,2,2,4,4,5,5,2,2,3,3,3,2,4,3,4,3
238,1,25,1, , ,5,3,1,5,10,11,1,1,21,1,1,1,1,1,4,3,1,1,7,3,7,2,1,2,1,6,3,3,2,3,4,3,3,2,3,2,3,3,4,1,4,6
239,1,60,1, , ,4,7,1,5,11,1,3,1,19,1,3,1,12,1,5,4,6,7,7,6,6,2,2,4,2,2,1,1,1,7,7,7,3,4,3,4,7,1,7,1,1,1
240,1,39,1, , ,3,7,1,5,9,1,1,1,21,1,1,1,0,1,4,1,1,1,5,1,6,6,7,7,7,1,1,1,1,7,7,7,7,7,2,6,6,1,7,1,1,1
242,1,29,1, , ,5,8,1,5,8,1,1,1,17,1,2,2,5,1,3,4,5,6,5,5,7,5,4,5,6,5,2,3,4,7,7,6,2,3,7,4,4,5,5,1,3,2
243,1,45,1, , ,5,7,1,5,11,1,50,1,14,1,30,1,10,1,3,4,3,4,3,3,4,3,4,4,4,3,1,1,4,6,6,6,2,2,4,4,4,1,6,1,2,2
244,1,30,1, , ,2,6, , , , ,1,1,21,1,1,1,8,1,4,5,6,6,7,7,7,6,6,6,7,6,7,6,6,6,6,5,2,2,7,7,7,7,7,1,1,1
245,1,31,1, , ,4,6,1,5,11,1,1,1,16,1,1,1,1,1,1,2,6,6,6,2,3,6,6,6,6,5,6,6,3,6,3,6,5,6,6,2,4,2,4,6,4,2
246,1,37,1, , ,2,6,1,5,8,1,3,1,15,1,5,1,2,1,3,5,6,6,5,6,2,7,7,7,7,5,1,2,3,7,7,7,1,1,7,4,7,7,1,1,7,1
247,1,45,1, , ,2,6,1,5,11,1,5,1,17,1,2,1,6,1,4,3,3,3,4,3,4,3,6,6,3,7,1,1,1,7,7,7,1,1,3,4,4,4,7,1,1,1
248,1,33,1, , ,4,7,1,5,11,1,10,1,18,1,12,1,4,1,5,2,2,2,5,3,1,2,2,3,1,1,1,1,1,5,4,5,1,1,2,3,5,1,3,1,5,1
250,1,47,1, , ,4,5,1,5,10,5,10,1,16,1,20,2,25,1,4,3,3,3,3,3,3,1,3,3,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
251,1,50,1, , ,4,6,1,5,10,1,6,1,19,1,5,1,10,1,4,2,3,3,7,4,7,3,4,4,4,4,2,1,2,7,6,6,3,5,4,4,5,3,6,1,2,2
252,1,47,1, , ,2,6,1,5,10,1,4,1,13,1,80,1,3,1,4,3,2,2,2,2,2,6,6,4,6,6,7,7,7,7,7,7,2,3,3,4,6,2,6,2,2,2
253,1,36,2, , ,5,1,1,5,11,4,1,2, ,1,1,1,1,1,3,6,6,6,6,6,6,6,6,4,3,6,2,2,2,4,2,4,2,3,2,2,2,2,2,3,6,3
254,1,57,1, , ,3,7,1,5,6,1,7,1,17,1,6,1,0,1,4,1,1,1,1,1,7,6,4,4,6,5,1,1,4,7,7,7,2,6,6,4,7,4,7,1,1,4
255,1,29,1, , ,3,6,1,5,10,1,3,1,17,1,2,1,3,1,4,2,2,3,5,3,2,3,3,3,3,3,1, ,2,5,6,6,2,3,3,3,3,1,5,1,3,2
256,1,25,1, , ,4,4,1,4,4,10,2,1,16,1,15,1,1,1,4,3,3,3,3,3,3,2,2,4,1,1,1,1,3,6,6,6,1,1,5,3,2,2,4,3,4,3
258,1,32,1, , ,5,6,1,5,11,1,5,1,19,1,5,1,6,1,5,3,4,7,7,5,7,7,6,7,7,6,1,1,2,6,7,7,3,3,6,4,7,3,7,1,1,1
259,1,36,6, , ,4,7,1,5,9,1,3,1,14,1,2,1,20,1,4,5,6,5,3,5,1,1,1,1,3,7,7,7,6,1,1,1,5,4,4,5,1,6,1,7,7,7
260,1,41,1, , ,3,3,1,5,4,8,7,1,26,1,2,1,0,1,4,3,4,5,1,5,1,7,7,6,2,7,7,7,5,1,1,1,4,4,2,4,1,4,1,7,7,7
261,1,33,1, , ,4,6,1,5,10,1,3,1,18,1,6,1,15,1,3,5,4,5,6,2,4,4,3,5,4,3,1,1,1,6,6,4,2,3,2,2,4,5,6,3,2,4
262,1,26,1, , ,3,7,1,5,10,1,6,1,17,1,6,1,2,1,4,2,2,2,5,3,5,5,5,3,3,2,2,2,2,7,6,7,3,5,3,3,3,3,6,1,2,2
264,1,34,3, , ,4,1,1,5,10,10,5,1,15,1,3,1,1,1,4,3,3,5,2,2,6,3,6,6,2,6,2,3,3,3,2,3,3,2,2,2,3,3,3,5,5,5
265,1,33,1, , ,2,4,1,5,7,2,1,1,25,1,1,1,5,1,3,5,1,1,1,1,4,1,3,5,4,5,3,3,3,5,5,5,3,1,1,1,1,1,5,3,3,3
266,1,56,1, , ,4,7,1,5,11,1,4,1,17,1,3,1,8,1,5,2,2,2,3,2,4,3,2,2,2,2,4,2,2,4,5,6,3,3,2,2,3,2,6,2,2,2
267,1,34,3, , ,5,6,1,5,11,1,4,1,23,1,1,1,4,1,4,5,6,6,7,7,7,3,4,4,5,4,2,1,1,7,5,7,7,6,7,7,7,2,7,2,1,1
268,1,55,1, , ,4,4,1,5,9,1,11,1,17,1,11,1,3,1,3,3,4,5,6,4,7,3,3,5,5,3,1,1,3,7,7,7,2,5,6,2,7,2,7,1,1,4
269,1,24,6,7,8,4,4,1,5,9,1,5,1,16,1,20,1,4,1,3,2,2,2,7,2,7,6,6,7,7,7,4,4,4,7,7,7,5,1,2,2,4,4,4, ,4,4
270,1,30,3, , ,5,6,1,4,6,5,3,1,19,1,3,1,8,1,3,5,6,5,4,5,6,5,6,6,5,5,6,6,6,4,5,6,5,5,4,4,5,5,6,3,2,6
271,1,32,1, , ,4,1,1,5,10,1,11,1,18,1,11,1,8,1,4,3,4,3,5,3,4,6,6,6,6,6,7,4,7,7,7,7,1,1,3,4,7,5,4,2,4,3
273,1,42,2, , ,4,1,1,5,11,1,1,1,23,1,1,1,2,1,5,1,2,1,2,1,7,5,1,1,1,2,1,1,1,1,2,1,2,2,1,2,6,2,6,2,2,2
274,1,43,1, , ,5,6,1,5,7,1,5,1,16,1,5,1,15,1,3,1,1,1,4,1,1,4,4,4,1,4,1,4,7,7,7,7,1,1,1,1,4,1,7,1,1,1
276,1,35,1, , ,2,6,1,5,11,1,3,1,16,1,11,1,15,1,5,1,1,2,7,1,7,1,3,5,3,5,1,1,1,5,6,6,2,6,5,3,7,7,7,1,1,1
277,1,24,1, , ,2,8,1,4,11,1,2,1,17,1,2,1,1,1,4,4,3,6,5,4,3,4,5,5,5,4,4,5,6,5,4,3,4,5,4,3,3,4,4,3,4,5
